TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_TOT_SOMM,TML_REGIONE,TML_NUTS
2020-12-27,PF/BT,12002,AMBULATORIO TERRITORIALE-DISTRETTO VILLA D'AGRI,BAS,20-29,0,2,0,2,0,0,0,2,0,2,Basilicata,ITF5
2020-12-27,PF/BT,12002,AMBULATORIO TERRITORIALE-DISTRETTO VILLA D'AGRI,BAS,30-39,2,4,0,6,0,0,0,6,0,6,Basilicata,ITF5
2020-12-27,PF/BT,12002,AMBULATORIO TERRITORIALE-DISTRETTO VILLA D'AGRI,BAS,40-49,9,10,0,19,0,0,0,19,0,19,Basilicata,ITF5
2020-12-27,PF/BT,12002,AMBULATORIO TERRITORIALE-DISTRETTO VILLA D'AGRI,BAS,50-59,10,7,0,17,0,0,0,17,0,17,Basilicata,ITF5
2020-12-27,PF/BT,12002,AMBULATORIO TERRITORIALE-DISTRETTO VILLA D'AGRI,BAS,60-69,5,6,0,11,0,0,0,11,0,11,Basilicata,ITF5
2020-12-27,PF/BT,301,SEDE DECENTRATA-DISTRETTO DI RIOERO IN VULTURE,BAS,20-29,4,4,0,8,0,0,0,8,0,8,Basilicata,ITF5
2020-12-27,PF/BT,301,SEDE DECENTRATA-DISTRETTO DI RIOERO IN VULTURE,BAS,30-39,3,10,0,13,0,0,0,13,0,13,Basilicata,ITF5
2020-12-27,PF/BT,301,SEDE DECENTRATA-DISTRETTO DI RIOERO IN VULTURE,BAS,40-49,1,9,0,10,0,0,0,10,0,10,Basilicata,ITF5
2020-12-27,PF/BT,301,SEDE DECENTRATA-DISTRETTO DI RIOERO IN VULTURE,BAS,50-59,3,5,0,8,0,0,0,8,0,8,Basilicata,ITF5
2020-12-27,PF/BT,301,SEDE DECENTRATA-DISTRETTO DI RIOERO IN VULTURE,BAS,60-69,5,4,0,9,0,0,0,9,0,9,Basilicata,ITF5
2020-12-27,PF/BT,901,Sala Prelievo  Laboratorio Analisi,BAS,20-29,4,5,0,9,0,0,0,9,0,9,Basilicata,ITF5
2020-12-27,PF/BT,901,Sala Prelievo  Laboratorio Analisi,BAS,30-39,9,18,0,27,0,0,0,27,0,27,Basilicata,ITF5
2020-12-27,PF/BT,901,Sala Prelievo  Laboratorio Analisi,BAS,40-49,7,23,0,30,0,0,0,30,0,30,Basilicata,ITF5
2020-12-27,PF/BT,901,Sala Prelievo  Laboratorio Analisi,BAS,50-59,12,13,0,25,0,0,0,25,0,25,Basilicata,ITF5
2020-12-27,PF/BT,901,Sala Prelievo  Laboratorio Analisi,BAS,60-69,9,5,0,14,0,0,0,14,0,14,Basilicata,ITF5
2021-01-02,PF/BT,12002,AMBULATORIO TERRITORIALE-DISTRETTO DI VILLA D'AGRI,BAS,20-29,0,2,0,2,0,0,0,2,0,2,Basilicata,ITF5
2021-01-02,PF/BT,12002,AMBULATORIO TERRITORIALE-DISTRETTO DI VILLA D'AGRI,BAS,30-39,2,4,0,6,0,0,0,6,0,6,Basilicata,ITF5
2021-01-02,PF/BT,12002,AMBULATORIO TERRITORIALE-DISTRETTO DI VILLA D'AGRI,BAS,40-49,8,10,0,18,0,0,0,18,0,18,Basilicata,ITF5
2021-01-02,PF/BT,12002,AMBULATORIO TERRITORIALE-DISTRETTO DI VILLA D'AGRI,BAS,50-59,10,7,0,17,0,0,0,17,0,17,Basilicata,ITF5
2021-01-02,PF/BT,12002,AMBULATORIO TERRITORIALE-DISTRETTO DI VILLA D'AGRI,BAS,60-69,5,6,0,11,0,0,0,11,0,11,Basilicata,ITF5
2021-01-02,PF/BT,15003,OSPEDALE DISTRETTUALE DI VENOSA,BAS,20-29,1,6,0,6,0,0,1,7,0,7,Basilicata,ITF5
2021-01-02,PF/BT,15003,OSPEDALE DISTRETTUALE DI VENOSA,BAS,30-39,5,1,0,4,0,0,2,6,0,6,Basilicata,ITF5
2021-01-02,PF/BT,15003,OSPEDALE DISTRETTUALE DI VENOSA,BAS,40-49,4,7,0,8,0,0,3,11,0,11,Basilicata,ITF5
