TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_REGIONE,TML_NUTS
2020-12-27,PF/BT,912,AZIENDA OSPEDALIERA DI COSENZA,CAL,20-29,5,8,0,13,0,0,0,13,0,Calabria,ITF6
2020-12-27,PF/BT,912,AZIENDA OSPEDALIERA DI COSENZA,CAL,30-39,8,4,0,12,0,0,0,12,0,Calabria,ITF6
2020-12-27,PF/BT,912,AZIENDA OSPEDALIERA DI COSENZA,CAL,40-49,4,9,0,13,0,0,0,13,0,Calabria,ITF6
2020-12-27,PF/BT,912,AZIENDA OSPEDALIERA DI COSENZA,CAL,50-59,7,7,0,14,0,0,0,14,0,Calabria,ITF6
2020-12-27,PF/BT,912,AZIENDA OSPEDALIERA DI COSENZA,CAL,60-69,3,4,0,7,0,0,0,7,0,Calabria,ITF6
2020-12-27,PF/BT,913,"AZIENDA OSPEDALIERA ""PUGLIESE-CIACCIO"" CATANZARO",CAL,20-29,2,7,0,9,0,0,0,9,0,Calabria,ITF6
2020-12-27,PF/BT,913,"AZIENDA OSPEDALIERA ""PUGLIESE-CIACCIO"" CATANZARO",CAL,30-39,2,4,0,6,0,0,0,6,0,Calabria,ITF6
2020-12-27,PF/BT,913,"AZIENDA OSPEDALIERA ""PUGLIESE-CIACCIO"" CATANZARO",CAL,40-49,3,3,0,6,0,0,0,6,0,Calabria,ITF6
2020-12-27,PF/BT,913,"AZIENDA OSPEDALIERA ""PUGLIESE-CIACCIO"" CATANZARO",CAL,50-59,5,2,0,7,0,0,0,7,0,Calabria,ITF6
2020-12-27,PF/BT,913,"AZIENDA OSPEDALIERA ""PUGLIESE-CIACCIO"" CATANZARO",CAL,60-69,1,1,0,2,0,0,0,2,0,Calabria,ITF6
2020-12-27,PF/BT,914,AOU MATER DOMINI CATANZARO,CAL,20-29,3,9,0,12,0,0,0,12,0,Calabria,ITF6
2020-12-27,PF/BT,914,AOU MATER DOMINI CATANZARO,CAL,30-39,10,13,0,23,0,0,0,23,0,Calabria,ITF6
2020-12-27,PF/BT,914,AOU MATER DOMINI CATANZARO,CAL,40-49,9,8,0,17,0,0,0,17,0,Calabria,ITF6
2020-12-27,PF/BT,914,AOU MATER DOMINI CATANZARO,CAL,50-59,25,15,0,40,0,0,0,40,0,Calabria,ITF6
2020-12-27,PF/BT,914,AOU MATER DOMINI CATANZARO,CAL,60-69,28,10,0,38,0,0,0,38,0,Calabria,ITF6
2020-12-27,PF/BT,915,GRANDE OSPEDALE METROPOLITANO REGGIO CALABRIA,CAL,20-29,3,10,0,13,0,0,0,13,0,Calabria,ITF6
2020-12-27,PF/BT,915,GRANDE OSPEDALE METROPOLITANO REGGIO CALABRIA,CAL,30-39,2,1,0,3,0,0,0,3,0,Calabria,ITF6
2020-12-27,PF/BT,915,GRANDE OSPEDALE METROPOLITANO REGGIO CALABRIA,CAL,40-49,6,8,0,14,0,0,0,14,0,Calabria,ITF6
2020-12-27,PF/BT,915,GRANDE OSPEDALE METROPOLITANO REGGIO CALABRIA,CAL,50-59,9,2,0,10,0,0,1,11,0,Calabria,ITF6
2020-12-27,PF/BT,915,GRANDE OSPEDALE METROPOLITANO REGGIO CALABRIA,CAL,60-69,12,2,0,13,1,0,0,14,0,Calabria,ITF6
2020-12-28,PF/BT,913,GRANDE OSPEDALE METROPOLTIANO REGGIO CALABRIA,CAL,20-29,1,0,0,1,0,0,0,1,0,Calabria,ITF6
2020-12-28,PF/BT,913,GRANDE OSPEDALE METROPOLTIANO REGGIO CALABRIA,CAL,30-39,0,1,0,1,0,0,0,1,0,Calabria,ITF6
2020-12-28,PF/BT,913,GRANDE OSPEDALE METROPOLTIANO REGGIO CALABRIA,CAL,40-49,0,1,0,1,0,0,0,1,0,Calabria,ITF6
2020-12-28,PF/BT,913,GRANDE OSPEDALE METROPOLTIANO REGGIO CALABRIA,CAL,50-59,0,1,0,1,0,0,0,1,0,Calabria,ITF6
2020-12-28,PF/BT,913,GRANDE OSPEDALE METROPOLTIANO REGGIO CALABRIA,CAL,60-69,1,0,0,1,0,0,0,1,0,Calabria,ITF6
2021-01-02,PF/BT,180062,P.O. Melito PS,CAL,30-39,1,0,0,1,0,0,0,1,0,Calabria,ITF6
2021-01-02,PF/BT,180062,P.O. Melito PS,CAL,50-59,1,0,0,1,0,0,0,1,0,Calabria,ITF6
2021-01-02,PF/BT,180062,P.O. Melito PS,CAL,60-69,3,0,0,3,0,0,0,3,0,Calabria,ITF6
2021-01-02,PF/BT,912, AZIENDA OSPEDALIERA COSENZA,CAL,30-39,2,1,0,3,0,0,0,3,0,Calabria,ITF6
2021-01-02,PF/BT,912, AZIENDA OSPEDALIERA COSENZA,CAL,40-49,3,4,0,7,0,0,0,7,0,Calabria,ITF6
