TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_REGIONE,TML_NUTS
2020-12-27,PF/BT,102,PARMA,EMR,20-29,3,6,0,0,0,0,9,9,0,Emilia-Romagna,ITH5
2020-12-27,PF/BT,102,PARMA,EMR,30-39,6,9,0,0,0,0,15,15,0,Emilia-Romagna,ITH5
2020-12-27,PF/BT,102,PARMA,EMR,40-49,8,20,0,0,0,0,28,28,0,Emilia-Romagna,ITH5
2020-12-27,PF/BT,102,PARMA,EMR,50-59,6,27,0,0,0,0,33,33,0,Emilia-Romagna,ITH5
2020-12-27,PF/BT,102,PARMA,EMR,60-69,10,3,0,0,0,0,13,13,0,Emilia-Romagna,ITH5
2020-12-27,PF/BT,102760,AMB. VACCINALE FIERA DI BOLOGNA PADIGLIONE POLIVALENTE,EMR,20-29,10,23,0,32,0,1,0,33,0,Emilia-Romagna,ITH5
2020-12-27,PF/BT,102760,AMB. VACCINALE FIERA DI BOLOGNA PADIGLIONE POLIVALENTE,EMR,30-39,16,24,0,40,0,0,0,40,0,Emilia-Romagna,ITH5
2020-12-27,PF/BT,102760,AMB. VACCINALE FIERA DI BOLOGNA PADIGLIONE POLIVALENTE,EMR,40-49,27,36,0,62,0,1,0,63,0,Emilia-Romagna,ITH5
2020-12-27,PF/BT,102760,AMB. VACCINALE FIERA DI BOLOGNA PADIGLIONE POLIVALENTE,EMR,50-59,26,60,0,84,0,0,2,86,0,Emilia-Romagna,ITH5
2020-12-27,PF/BT,102760,AMB. VACCINALE FIERA DI BOLOGNA PADIGLIONE POLIVALENTE,EMR,60-69,17,11,0,25,0,3,0,28,0,Emilia-Romagna,ITH5
2020-12-27,PF/BT,102760,AMB. VACCINALE FIERA DI BOLOGNA PADIGLIONE POLIVALENTE,EMR,70-79,7,3,0,1,0,8,1,10,0,Emilia-Romagna,ITH5
