TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_TOT_SOMM,TML_REGIONE,TML_NUTS
2020-12-27,PF/BT,ND,Sede Regionale Protezione Civile,FVG,20-29,1,4,0,4,1,0,0,5,0,5,Friuli Venezia Giulia,ITH4
2020-12-27,PF/BT,ND,Sede Regionale Protezione Civile,FVG,30-39,9,7,0,16,0,0,0,16,0,16,Friuli Venezia Giulia,ITH4
2020-12-27,PF/BT,ND,Sede Regionale Protezione Civile,FVG,40-49,17,33,0,50,0,0,0,50,0,50,Friuli Venezia Giulia,ITH4
2020-12-27,PF/BT,ND,Sede Regionale Protezione Civile,FVG,50-59,58,44,0,100,2,0,0,102,0,102,Friuli Venezia Giulia,ITH4
2020-12-27,PF/BT,ND,Sede Regionale Protezione Civile,FVG,60-69,62,23,0,85,0,0,0,85,0,85,Friuli Venezia Giulia,ITH4
2020-12-27,PF/BT,ND,Sede Regionale Protezione Civile,FVG,70-79,3,2,0,5,0,0,0,5,0,5,Friuli Venezia Giulia,ITH4
2020-12-30,PF/BT,117510,Ospedale Pordenone,FVG,20-29,6,9,0,14,0,0,1,15,0,15,Friuli Venezia Giulia,ITH4
2020-12-30,PF/BT,117510,Ospedale Pordenone,FVG,30-39,15,18,0,32,1,0,0,33,0,33,Friuli Venezia Giulia,ITH4
2020-12-30,PF/BT,117510,Ospedale Pordenone,FVG,40-49,14,48,0,60,2,0,0,62,0,62,Friuli Venezia Giulia,ITH4
2020-12-30,PF/BT,117510,Ospedale Pordenone,FVG,50-59,24,46,0,67,2,0,1,70,0,70,Friuli Venezia Giulia,ITH4
2020-12-30,PF/BT,117510,Ospedale Pordenone,FVG,60-69,14,10,0,24,0,0,0,24,0,24,Friuli Venezia Giulia,ITH4
2020-12-30,PF/BT,117510,Ospedale Pordenone,FVG,70-79,2,0,0,2,0,0,0,2,0,2,Friuli Venezia Giulia,ITH4
2020-12-30,PF/BT,12M810,Ospedale Monfalcone,FVG,20-29,3,4,0,7,0,0,0,7,0,7,Friuli Venezia Giulia,ITH4
2020-12-30,PF/BT,12M810,Ospedale Monfalcone,FVG,30-39,9,19,0,25,2,0,1,28,0,28,Friuli Venezia Giulia,ITH4
2020-12-30,PF/BT,12M810,Ospedale Monfalcone,FVG,40-49,7,19,0,23,3,0,0,26,0,26,Friuli Venezia Giulia,ITH4
2020-12-30,PF/BT,12M810,Ospedale Monfalcone,FVG,50-59,8,17,0,23,2,0,0,25,0,25,Friuli Venezia Giulia,ITH4
2020-12-30,PF/BT,12M810,Ospedale Monfalcone,FVG,60-69,17,8,0,23,2,0,0,25,0,25,Friuli Venezia Giulia,ITH4
2020-12-30,PF/BT,12M810,Ospedale Monfalcone,FVG,70-79,1,0,0,1,0,0,0,1,0,1,Friuli Venezia Giulia,ITH4
2020-12-30,PF/BT,12M810,Ospedale Monfalcone,FVG,80-89,1,1,0,2,0,0,0,2,0,2,Friuli Venezia Giulia,ITH4
2020-12-30,PF/BT,14VP13,Ospedale Udine,FVG,20-29,4,5,0,9,0,0,0,9,0,9,Friuli Venezia Giulia,ITH4
2020-12-30,PF/BT,14VP13,Ospedale Udine,FVG,30-39,17,23,0,35,1,0,4,40,0,40,Friuli Venezia Giulia,ITH4
2020-12-30,PF/BT,14VP13,Ospedale Udine,FVG,40-49,10,30,0,38,2,0,0,40,0,40,Friuli Venezia Giulia,ITH4
