TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_REGIONE,TML_NUTS
2020-12-27,PF/BT,511,IRCCS INMI L. Spallanzani,LAZ,20-29,16,16,0,32,0,0,0,32,0,Lazio,ITI4
2020-12-27,PF/BT,511,IRCCS INMI L. Spallanzani,LAZ,30-39,19,21,0,40,0,0,0,40,0,Lazio,ITI4
2020-12-27,PF/BT,511,IRCCS INMI L. Spallanzani,LAZ,40-49,10,17,0,27,0,0,0,27,0,Lazio,ITI4
2020-12-27,PF/BT,511,IRCCS INMI L. Spallanzani,LAZ,50-59,13,15,0,28,0,0,0,28,0,Lazio,ITI4
2020-12-27,PF/BT,511,IRCCS INMI L. Spallanzani,LAZ,60-69,8,4,0,12,0,0,0,12,0,Lazio,ITI4
2020-12-28,PF/BT,109,ASL VITERBO,LAZ,20-29,7,4,0,11,0,0,0,11,0,Lazio,ITI4
2020-12-28,PF/BT,109,ASL VITERBO,LAZ,30-39,4,4,0,8,0,0,0,8,0,Lazio,ITI4
2020-12-28,PF/BT,109,ASL VITERBO,LAZ,40-49,0,6,0,6,0,0,0,6,0,Lazio,ITI4
2020-12-28,PF/BT,109,ASL VITERBO,LAZ,50-59,4,3,0,7,0,0,0,7,0,Lazio,ITI4
2020-12-28,PF/BT,109,ASL VITERBO,LAZ,60-69,4,4,0,8,0,0,0,8,0,Lazio,ITI4
2020-12-28,PF/BT,110,ASL RIETI,LAZ,30-39,3,2,0,5,0,0,0,5,0,Lazio,ITI4
2020-12-28,PF/BT,110,ASL RIETI,LAZ,40-49,1,13,0,14,0,0,0,14,0,Lazio,ITI4
2020-12-28,PF/BT,110,ASL RIETI,LAZ,50-59,12,7,0,19,0,0,0,19,0,Lazio,ITI4
2020-12-28,PF/BT,110,ASL RIETI,LAZ,60-69,7,3,0,10,0,0,0,10,0,Lazio,ITI4
2020-12-28,PF/BT,201,ASL ROMA 1,LAZ,20-29,3,11,0,14,0,0,0,14,0,Lazio,ITI4
2020-12-28,PF/BT,201,ASL ROMA 1,LAZ,30-39,8,8,0,16,0,0,0,16,0,Lazio,ITI4
2020-12-28,PF/BT,201,ASL ROMA 1,LAZ,40-49,6,11,0,17,0,0,0,17,0,Lazio,ITI4
2020-12-28,PF/BT,201,ASL ROMA 1,LAZ,50-59,7,21,0,28,0,0,0,28,0,Lazio,ITI4
2020-12-28,PF/BT,201,ASL ROMA 1,LAZ,60-69,7,3,0,10,0,0,0,10,0,Lazio,ITI4
2020-12-28,PF/BT,202,ASL ROMA 2,LAZ,20-29,10,8,0,18,0,0,0,18,0,Lazio,ITI4
2020-12-28,PF/BT,202,ASL ROMA 2,LAZ,30-39,6,7,0,13,0,0,0,13,0,Lazio,ITI4
2020-12-28,PF/BT,202,ASL ROMA 2,LAZ,40-49,4,10,0,14,0,0,0,14,0,Lazio,ITI4
2020-12-28,PF/BT,202,ASL ROMA 2,LAZ,50-59,11,13,0,24,0,0,0,24,0,Lazio,ITI4
2020-12-28,PF/BT,202,ASL ROMA 2,LAZ,60-69,6,5,0,11,0,0,0,11,0,Lazio,ITI4
2020-12-28,PF/BT,203,ASL ROMA 3,LAZ,30-39,1,4,0,5,0,0,0,5,0,Lazio,ITI4
2020-12-28,PF/BT,203,ASL ROMA 3,LAZ,40-49,1,8,0,9,0,0,0,9,0,Lazio,ITI4
2020-12-28,PF/BT,203,ASL ROMA 3,LAZ,50-59,6,10,0,16,0,0,0,16,0,Lazio,ITI4
2020-12-28,PF/BT,203,ASL ROMA 3,LAZ,60-69,2,1,0,3,0,0,0,3,0,Lazio,ITI4
2020-12-28,PF/BT,502,IRCCS Ospedale Pediatrico Bambino Gesù,LAZ,20-29,0,4,0,4,0,0,0,4,0,Lazio,ITI4
2020-12-28,PF/BT,502,IRCCS Ospedale Pediatrico Bambino Gesù,LAZ,30-39,2,4,0,6,0,0,0,6,0,Lazio,ITI4
2020-12-28,PF/BT,502,IRCCS Ospedale Pediatrico Bambino Gesù,LAZ,40-49,2,6,0,8,0,0,0,8,0,Lazio,ITI4
2020-12-28,PF/BT,502,IRCCS Ospedale Pediatrico Bambino Gesù,LAZ,50-59,2,5,0,7,0,0,0,7,0,Lazio,ITI4
2020-12-28,PF/BT,502,IRCCS Ospedale Pediatrico Bambino Gesù,LAZ,60-69,3,2,0,5,0,0,0,5,0,Lazio,ITI4
2020-12-28,PF/BT,504,Azienda Ospedaliera Universitaria Sant’Andrea,LAZ,20-29,1,0,0,1,0,0,0,1,0,Lazio,ITI4
2020-12-28,PF/BT,504,Azienda Ospedaliera Universitaria Sant’Andrea,LAZ,30-39,2,1,0,3,0,0,0,3,0,Lazio,ITI4
2020-12-28,PF/BT,504,Azienda Ospedaliera Universitaria Sant’Andrea,LAZ,40-49,2,6,0,8,0,0,0,8,0,Lazio,ITI4
2020-12-28,PF/BT,504,Azienda Ospedaliera Universitaria Sant’Andrea,LAZ,50-59,1,5,0,6,0,0,0,6,0,Lazio,ITI4
2020-12-28,PF/BT,504,Azienda Ospedaliera Universitaria Sant’Andrea,LAZ,60-69,1,1,0,2,0,0,0,2,0,Lazio,ITI4
2020-12-28,PF/BT,505,Fondazione PTV Policlinico Tor Vergata,LAZ,20-29,3,0,0,3,0,0,0,3,0,Lazio,ITI4
2020-12-28,PF/BT,505,Fondazione PTV Policlinico Tor Vergata,LAZ,30-39,4,5,0,9,0,0,0,9,0,Lazio,ITI4
2020-12-28,PF/BT,505,Fondazione PTV Policlinico Tor Vergata,LAZ,40-49,3,9,0,12,0,0,0,12,0,Lazio,ITI4
2020-12-28,PF/BT,505,Fondazione PTV Policlinico Tor Vergata,LAZ,50-59,0,4,0,4,0,0,0,4,0,Lazio,ITI4
2020-12-28,PF/BT,505,Fondazione PTV Policlinico Tor Vergata,LAZ,60-69,2,0,0,2,0,0,0,2,0,Lazio,ITI4
2020-12-28,PF/BT,506,IRCCS Fondazione Policlinico Universitario A. Gemelli,LAZ,20-29,6,3,0,9,0,0,0,9,0,Lazio,ITI4
2020-12-28,PF/BT,506,IRCCS Fondazione Policlinico Universitario A. Gemelli,LAZ,30-39,2,2,0,4,0,0,0,4,0,Lazio,ITI4
2020-12-28,PF/BT,506,IRCCS Fondazione Policlinico Universitario A. Gemelli,LAZ,40-49,7,5,0,12,0,0,0,12,0,Lazio,ITI4
