TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_REGIONE,TML_NUTS
2020-12-27,PF/BT,103,villa marta di betania  (inserito codice ASL3 Liguria),LIG,20-29,2,2,0,4,0,0,0,4,0,Liguria,ITC3
2020-12-27,PF/BT,103,villa marta di betania  (inserito codice ASL3 Liguria),LIG,30-39,3,1,0,4,0,0,0,4,0,Liguria,ITC3
2020-12-27,PF/BT,103,villa marta di betania  (inserito codice ASL3 Liguria),LIG,40-49,2,1,0,3,0,0,0,3,0,Liguria,ITC3
2020-12-27,PF/BT,103,villa marta di betania  (inserito codice ASL3 Liguria),LIG,50-59,0,3,0,1,1,1,0,3,0,Liguria,ITC3
2020-12-27,PF/BT,103,villa marta di betania  (inserito codice ASL3 Liguria),LIG,60-69,2,1,0,2,0,1,0,3,0,Liguria,ITC3
2020-12-27,PF/BT,103,villa marta di betania  (inserito codice ASL3 Liguria),LIG,70-79,0,3,0,0,0,3,0,3,0,Liguria,ITC3
2020-12-27,PF/BT,103,villa marta di betania  (inserito codice ASL3 Liguria),LIG,80-89,2,12,0,0,0,14,0,14,0,Liguria,ITC3
2020-12-27,PF/BT,103,villa marta di betania  (inserito codice ASL3 Liguria),LIG,90+,1,10,0,0,0,11,0,11,0,Liguria,ITC3
2020-12-27,PF/BT,70901,Ospedale Policlinico San Martino Genova,LIG,20-29,4,1,0,5,0,0,0,5,0,Liguria,ITC3
2020-12-27,PF/BT,70901,Ospedale Policlinico San Martino Genova,LIG,30-39,9,11,0,20,0,0,0,20,0,Liguria,ITC3
2020-12-27,PF/BT,70901,Ospedale Policlinico San Martino Genova,LIG,40-49,5,11,0,16,0,0,0,16,0,Liguria,ITC3
2020-12-27,PF/BT,70901,Ospedale Policlinico San Martino Genova,LIG,50-59,16,17,0,33,0,0,0,33,0,Liguria,ITC3
2020-12-27,PF/BT,70901,Ospedale Policlinico San Martino Genova,LIG,60-69,11,3,0,14,0,0,0,14,0,Liguria,ITC3
2020-12-27,PF/BT,70901,Ospedale Policlinico San Martino Genova,LIG,70-79,2,0,0,0,0,0,2,2,0,Liguria,ITC3
2020-12-28,PF/BT,70901,Ospedale Policlinico San Martino Genova,LIG,20-29,1,3,0,4,0,0,0,4,0,Liguria,ITC3
2020-12-28,PF/BT,70901,Ospedale Policlinico San Martino Genova,LIG,30-39,4,9,0,13,0,0,0,13,0,Liguria,ITC3
2020-12-28,PF/BT,70901,Ospedale Policlinico San Martino Genova,LIG,40-49,9,14,0,23,0,0,0,23,0,Liguria,ITC3
2020-12-28,PF/BT,70901,Ospedale Policlinico San Martino Genova,LIG,50-59,10,19,0,29,0,0,0,29,0,Liguria,ITC3
2020-12-28,PF/BT,70901,Ospedale Policlinico San Martino Genova,LIG,60-69,5,5,0,10,0,0,0,10,0,Liguria,ITC3
2020-12-28,PF/BT,70901,Ospedale Policlinico San Martino Genova,LIG,80-89,1,0,0,0,0,0,1,1,0,Liguria,ITC3
2020-12-29,PF/BT,70901,Ospedale Policlinico San Martino Genova,LIG,20-29,1,0,0,1,0,0,0,1,0,Liguria,ITC3
2020-12-29,PF/BT,70901,Ospedale Policlinico San Martino Genova,LIG,30-39,8,18,0,26,0,0,0,26,0,Liguria,ITC3
2020-12-29,PF/BT,70901,Ospedale Policlinico San Martino Genova,LIG,40-49,4,12,0,16,0,0,0,16,0,Liguria,ITC3
2020-12-29,PF/BT,70901,Ospedale Policlinico San Martino Genova,LIG,50-59,8,25,0,33,0,0,0,33,0,Liguria,ITC3
2020-12-29,PF/BT,70901,Ospedale Policlinico San Martino Genova,LIG,60-69,5,3,0,8,0,0,0,8,0,Liguria,ITC3
2020-12-29,PF/BT,STS11-050430,VILLA COSTALTA - MELE - NAP,LIG,30-39,1,2,0,1,2,0,0,3,0,Liguria,ITC3
2020-12-29,PF/BT,STS11-050430,VILLA COSTALTA - MELE - NAP,LIG,40-49,1,5,0,4,2,0,0,6,0,Liguria,ITC3
2020-12-29,PF/BT,STS11-050430,VILLA COSTALTA - MELE - NAP,LIG,50-59,0,5,0,5,0,0,0,5,0,Liguria,ITC3
2020-12-29,PF/BT,STS11-050430,VILLA COSTALTA - MELE - NAP,LIG,60-69,1,3,0,3,1,0,0,4,0,Liguria,ITC3
2020-12-29,PF/BT,STS11-050430,VILLA COSTALTA - MELE - NAP,LIG,70-79,2,3,0,0,2,3,0,5,0,Liguria,ITC3
2020-12-29,PF/BT,STS11-050430,VILLA COSTALTA - MELE - NAP,LIG,80-89,1,8,0,0,0,9,0,9,0,Liguria,ITC3
2020-12-29,PF/BT,STS11-050430,VILLA COSTALTA - MELE - NAP,LIG,90+,1,8,0,0,0,9,0,9,0,Liguria,ITC3
2020-12-30,PF/BT,70025,Ente Ospedaliero Ospedali Galliera,LIG,20-29,1,0,0,1,0,0,0,1,0,Liguria,ITC3
2020-12-30,PF/BT,70025,Ente Ospedaliero Ospedali Galliera,LIG,30-39,0,1,0,1,0,0,0,1,0,Liguria,ITC3
2020-12-30,PF/BT,70025,Ente Ospedaliero Ospedali Galliera,LIG,40-49,0,2,0,2,0,0,0,2,0,Liguria,ITC3
2020-12-30,PF/BT,70025,Ente Ospedaliero Ospedali Galliera,LIG,50-59,4,3,0,7,0,0,0,7,0,Liguria,ITC3
2020-12-30,PF/BT,70025,Ente Ospedaliero Ospedali Galliera,LIG,60-69,0,1,0,1,0,0,0,1,0,Liguria,ITC3
2020-12-31,PF/BT,007023,CONSORZIO CAMPO DEL VESCOVO BRUGNATO,LIG,20-29,0,1,0,1,0,0,0,1,0,Liguria,ITC3
2020-12-31,PF/BT,007023,CONSORZIO CAMPO DEL VESCOVO BRUGNATO,LIG,30-39,0,1,0,1,0,0,0,1,0,Liguria,ITC3
2020-12-31,PF/BT,007023,CONSORZIO CAMPO DEL VESCOVO BRUGNATO,LIG,40-49,0,9,0,8,0,1,0,9,0,Liguria,ITC3
2020-12-31,PF/BT,007023,CONSORZIO CAMPO DEL VESCOVO BRUGNATO,LIG,50-59,5,17,0,11,4,7,0,22,0,Liguria,ITC3
2020-12-31,PF/BT,007023,CONSORZIO CAMPO DEL VESCOVO BRUGNATO,LIG,60-69,5,2,0,1,0,6,0,7,0,Liguria,ITC3
2020-12-31,PF/BT,007023,CONSORZIO CAMPO DEL VESCOVO BRUGNATO,LIG,70-79,9,7,0,1,0,14,1,16,0,Liguria,ITC3
2020-12-31,PF/BT,007023,CONSORZIO CAMPO DEL VESCOVO BRUGNATO,LIG,80-89,5,21,0,0,0,26,0,26,0,Liguria,ITC3
2020-12-31,PF/BT,007023,CONSORZIO CAMPO DEL VESCOVO BRUGNATO,LIG,90+,1,13,0,0,0,14,0,14,0,Liguria,ITC3
2020-12-31,PF/BT,070058,OSPEDALE SANT'ANDREA LA SPEZIA,LIG,50-59,2,0,0,2,0,0,0,2,0,Liguria,ITC3
2020-12-31,PF/BT,070058,OSPEDALE SANT'ANDREA LA SPEZIA,LIG,60-69,2,2,0,4,0,0,0,4,0,Liguria,ITC3
2020-12-31,PF/BT,070058,STABILIMENTO SAN BARTOLOMEO DI SARZANA,LIG,20-29,0,1,0,1,0,0,0,1,0,Liguria,ITC3
2020-12-31,PF/BT,070058,STABILIMENTO SAN BARTOLOMEO DI SARZANA,LIG,30-39,1,2,0,3,0,0,0,3,0,Liguria,ITC3
2020-12-31,PF/BT,070058,STABILIMENTO SAN BARTOLOMEO DI SARZANA,LIG,40-49,1,0,0,1,0,0,0,1,0,Liguria,ITC3
2020-12-31,PF/BT,070058,STABILIMENTO SAN BARTOLOMEO DI SARZANA,LIG,50-59,3,3,0,6,0,0,0,6,0,Liguria,ITC3
2020-12-31,PF/BT,070058,STABILIMENTO SAN BARTOLOMEO DI SARZANA,LIG,60-69,0,1,0,1,0,0,0,1,0,Liguria,ITC3
2020-12-31,PF/BT,07010204,ASL 2 SAVONESE - OSPEDALE SAN PAOLO,LIG,20-29,1,1,0,2,0,0,0,2,0,Liguria,ITC3
2020-12-31,PF/BT,07010204,ASL 2 SAVONESE - OSPEDALE SAN PAOLO,LIG,30-39,4,5,0,9,0,0,0,9,0,Liguria,ITC3
2020-12-31,PF/BT,07010204,ASL 2 SAVONESE - OSPEDALE SAN PAOLO,LIG,40-49,5,23,0,28,0,0,0,28,0,Liguria,ITC3
2020-12-31,PF/BT,07010204,ASL 2 SAVONESE - OSPEDALE SAN PAOLO,LIG,50-59,23,36,0,59,0,0,0,59,0,Liguria,ITC3
2020-12-31,PF/BT,07010204,ASL 2 SAVONESE - OSPEDALE SAN PAOLO,LIG,60-69,24,10,0,34,0,0,0,34,0,Liguria,ITC3
2020-12-31,PF/BT,301004,VILLA SCASSI,LIG,20-29,3,5,0,8,0,0,0,8,0,Liguria,ITC3
2020-12-31,PF/BT,301004,VILLA SCASSI,LIG,30-39,12,7,0,19,0,0,0,19,0,Liguria,ITC3
2020-12-31,PF/BT,301004,VILLA SCASSI,LIG,40-49,4,10,0,14,0,0,0,14,0,Liguria,ITC3
