TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_TOT_SOMM,TML_REGIONE,TML_NUTS
2020-12-27,PF/BT,.030042,ASST VAL - PRESIDIO OSPEDALIERO DI SONDRIO,LOM,20-29,1,0,0,1,0,0,0,1,0,1,Lombardia,ITC4
2020-12-27,PF/BT,.030042,ASST VAL - PRESIDIO OSPEDALIERO DI SONDRIO,LOM,30-39,5,0,0,2,3,0,0,5,0,5,Lombardia,ITC4
2020-12-27,PF/BT,.030042,ASST VAL - PRESIDIO OSPEDALIERO DI SONDRIO,LOM,40-49,8,4,0,11,1,0,0,12,0,12,Lombardia,ITC4
2020-12-27,PF/BT,.030042,ASST VAL - PRESIDIO OSPEDALIERO DI SONDRIO,LOM,50-59,9,8,0,15,1,0,1,17,0,17,Lombardia,ITC4
2020-12-27,PF/BT,.030042,ASST VAL - PRESIDIO OSPEDALIERO DI SONDRIO,LOM,60-69,8,5,0,12,1,0,0,13,0,13,Lombardia,ITC4
2020-12-27,PF/BT,.030042,ASST VAL - PRESIDIO OSPEDALIERO DI SONDRIO,LOM,70-79,0,1,0,0,1,0,0,1,0,1,Lombardia,ITC4
2020-12-27,PF/BT,.030042,ASST VAL - PRESIDIO OSPEDALIERO DI SONDRIO,LOM,80-89,1,0,0,0,0,0,1,1,0,1,Lombardia,ITC4
2020-12-27,PF/BT,000558,RSA PIO ALBERGO TRIVULZIO,LOM,20-29,3,5,0,8,0,0,0,8,0,8,Lombardia,ITC4
2020-12-27,PF/BT,000558,RSA PIO ALBERGO TRIVULZIO,LOM,30-39,4,2,0,6,0,0,0,6,0,6,Lombardia,ITC4
2020-12-27,PF/BT,000558,RSA PIO ALBERGO TRIVULZIO,LOM,40-49,2,4,0,5,1,0,0,6,0,6,Lombardia,ITC4
2020-12-27,PF/BT,000558,RSA PIO ALBERGO TRIVULZIO,LOM,50-59,3,4,0,7,0,0,0,7,0,7,Lombardia,ITC4
2020-12-27,PF/BT,000558,RSA PIO ALBERGO TRIVULZIO,LOM,60-69,5,6,0,11,0,0,0,11,0,11,Lombardia,ITC4
2020-12-27,PF/BT,000558,RSA PIO ALBERGO TRIVULZIO,LOM,70-79,0,2,0,0,0,2,0,2,0,2,Lombardia,ITC4
2020-12-27,PF/BT,000558,RSA PIO ALBERGO TRIVULZIO,LOM,80-89,2,6,0,0,0,8,0,8,0,8,Lombardia,ITC4
2020-12-27,PF/BT,000558,RSA PIO ALBERGO TRIVULZIO,LOM,90+,1,1,0,0,0,2,0,2,0,2,Lombardia,ITC4
2020-12-27,PF/BT,030903,AMB COVID LECCO,LOM,30-39,5,3,0,8,0,0,0,8,0,8,Lombardia,ITC4
2020-12-27,PF/BT,030903,AMB COVID LECCO,LOM,40-49,2,9,0,11,0,0,0,11,0,11,Lombardia,ITC4
2020-12-27,PF/BT,030903,AMB COVID LECCO,LOM,50-59,4,11,0,13,2,0,0,15,0,15,Lombardia,ITC4
2020-12-27,PF/BT,030903,AMB COVID LECCO,LOM,60-69,14,2,0,15,1,0,0,16,0,16,Lombardia,ITC4
2020-12-27,PF/BT,030924,IRCCS POLICLINICO S. MATTEO - PAVIA,LOM,20-29,1,0,0,1,0,0,0,1,0,1,Lombardia,ITC4
2020-12-27,PF/BT,030924,IRCCS POLICLINICO S. MATTEO - PAVIA,LOM,30-39,1,1,0,2,0,0,0,2,0,2,Lombardia,ITC4
2020-12-27,PF/BT,030924,IRCCS POLICLINICO S. MATTEO - PAVIA,LOM,40-49,4,7,0,11,0,0,0,11,0,11,Lombardia,ITC4
2020-12-27,PF/BT,030924,IRCCS POLICLINICO S. MATTEO - PAVIA,LOM,50-59,10,3,0,13,0,0,0,13,0,13,Lombardia,ITC4
2020-12-27,PF/BT,030924,IRCCS POLICLINICO S. MATTEO - PAVIA,LOM,60-69,19,3,0,22,0,0,0,22,0,22,Lombardia,ITC4
2020-12-27,PF/BT,030924,IRCCS POLICLINICO S. MATTEO - PAVIA,LOM,70-79,1,0,0,1,0,0,0,1,0,1,Lombardia,ITC4
2020-12-27,PF/BT,30701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,LOM,20-29,1,2,0,3,0,0,0,3,0,3,Lombardia,ITC4
2020-12-27,PF/BT,30701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,LOM,30-39,2,7,0,9,0,0,0,9,0,9,Lombardia,ITC4
2020-12-27,PF/BT,30701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,LOM,40-49,8,8,0,16,0,0,0,16,0,16,Lombardia,ITC4
2020-12-27,PF/BT,30701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,LOM,50-59,14,12,0,26,0,0,0,26,0,26,Lombardia,ITC4
2020-12-27,PF/BT,30701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,LOM,60-69,33,10,0,43,0,0,0,43,0,43,Lombardia,ITC4
2020-12-27,PF/BT,30701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,LOM,70-79,1,0,0,1,0,0,0,1,0,1,Lombardia,ITC4
2020-12-27,PF/BT,30701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,LOM,90+,1,0,0,1,0,0,0,1,0,1,Lombardia,ITC4
2020-12-27,PF/BT,30718,ASST PAPA GIOVANNI XXIII,LOM,20-29,1,4,0,5,0,0,0,5,0,5,Lombardia,ITC4
