TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_REGIONE,TML_NUTS
2020-12-27,PF/BT,110001,PRESIDIO OSPEDALIERO UNICO AV1,MAR,60-69,10,5,0,15,0,0,0,15,0,Marche,ITI3
2020-12-27,PF/BT,110002,PRESIDIO OSPEDALIERO UNICO AV2,MAR,60-69,9,6,0,15,0,0,0,15,0,Marche,ITI3
2020-12-27,PF/BT,110003,PRESIDIO OSPEDALIERO UNICO AV3,MAR,60-69,12,8,0,20,0,0,0,20,0,Marche,ITI3
2020-12-27,PF/BT,110004,PRESIDIO OSPEDALIERO UNICO AV4,MAR,60-69,13,2,0,15,0,0,0,15,0,Marche,ITI3
2020-12-27,PF/BT,110005,PRESIDIO OSPEDALIERO UNICO AV5,MAR,60-69,9,6,0,13,0,0,2,15,0,Marche,ITI3
2020-12-27,PF/BT,110018,DT04 RSA ARCEVIA,MAR,30-39,1,2,0,3,0,0,0,3,0,Marche,ITI3
2020-12-27,PF/BT,110018,DT04 RSA ARCEVIA,MAR,40-49,3,6,0,7,0,0,2,9,0,Marche,ITI3
2020-12-27,PF/BT,110018,DT04 RSA ARCEVIA,MAR,50-59,0,9,0,6,0,0,3,9,0,Marche,ITI3
2020-12-27,PF/BT,110018,DT04 RSA ARCEVIA,MAR,60-69,5,0,0,5,0,0,0,5,0,Marche,ITI3
2020-12-27,PF/BT,110018,DT04 RSA ARCEVIA,MAR,70-79,0,1,0,0,0,1,0,1,0,Marche,ITI3
2020-12-27,PF/BT,110018,DT04 RSA ARCEVIA,MAR,80-89,0,2,0,0,0,2,0,2,0,Marche,ITI3
2020-12-27,PF/BT,110018,DT04 RSA ARCEVIA,MAR,90+,0,1,0,0,0,1,0,1,0,Marche,ITI3
2020-12-27,PF/BT,110901,A.O. OSPEDALI RIUNITI MARCHE NORD,MAR,30-39,0,1,0,1,0,0,0,1,0,Marche,ITI3
2020-12-27,PF/BT,110901,A.O. OSPEDALI RIUNITI MARCHE NORD,MAR,40-49,0,2,0,2,0,0,0,2,0,Marche,ITI3
2020-12-27,PF/BT,110901,A.O. OSPEDALI RIUNITI MARCHE NORD,MAR,50-59,7,6,0,12,1,0,0,13,0,Marche,ITI3
2020-12-27,PF/BT,110901,A.O. OSPEDALI RIUNITI MARCHE NORD,MAR,60-69,3,1,0,4,0,0,0,4,0,Marche,ITI3
2020-12-27,PF/BT,110905,A.O.U.OSPEDALI RIUNITI - ANCONA,MAR,20-29,2,2,0,4,0,0,0,4,0,Marche,ITI3
