TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_TOT_SOMM,TML_REGIONE,TML_NUTS
2020-12-27,PF/BT,140 001,P.O. ANTONIO CARDARELLI,MOL,20-29,0,2,0,2,0,0,0,2,0,2,Molise,ITF2
2020-12-27,PF/BT,140 001,P.O. ANTONIO CARDARELLI,MOL,30-39,3,5,0,8,0,0,0,8,0,8,Molise,ITF2
2020-12-27,PF/BT,140 001,P.O. ANTONIO CARDARELLI,MOL,40-49,4,3,0,7,0,0,0,7,0,7,Molise,ITF2
2020-12-27,PF/BT,140 001,P.O. ANTONIO CARDARELLI,MOL,50-59,5,5,0,10,0,0,0,10,0,10,Molise,ITF2
2020-12-27,PF/BT,140 001,P.O. ANTONIO CARDARELLI,MOL,60-69,3,0,0,3,0,0,0,3,0,3,Molise,ITF2
2020-12-27,PF/BT,201,"Casa di riposo ""Cannavina"" - Ripalimosani",MOL,20-29,0,2,0,2,0,0,0,2,0,2,Molise,ITF2
2020-12-27,PF/BT,201,"Casa di riposo ""Cannavina"" - Ripalimosani",MOL,30-39,1,0,0,0,0,0,1,1,0,1,Molise,ITF2
2020-12-27,PF/BT,201,"Casa di riposo ""Cannavina"" - Ripalimosani",MOL,60-69,1,0,0,0,0,1,0,1,0,1,Molise,ITF2
2020-12-27,PF/BT,201,"Casa di riposo ""Cannavina"" - Ripalimosani",MOL,70-79,1,3,0,0,0,4,0,4,0,4,Molise,ITF2
2020-12-27,PF/BT,201,"Casa di riposo ""Cannavina"" - Ripalimosani",MOL,80-89,0,6,0,0,0,6,0,6,0,6,Molise,ITF2
2020-12-27,PF/BT,201,"Casa di riposo ""Cannavina"" - Ripalimosani",MOL,90+,2,4,0,0,0,6,0,6,0,6,Molise,ITF2
2021-01-04,PF/BT,14000100,P.O. A.CARDARELLI-CAMPOBASSO,MOL,20-29,3,7,0,10,0,0,0,10,0,10,Molise,ITF2
2021-01-04,PF/BT,14000100,P.O. A.CARDARELLI-CAMPOBASSO,MOL,30-39,13,11,0,23,0,0,1,24,0,24,Molise,ITF2
2021-01-04,PF/BT,14000100,P.O. A.CARDARELLI-CAMPOBASSO,MOL,40-49,9,14,0,23,0,0,0,23,0,23,Molise,ITF2
2021-01-04,PF/BT,14000100,P.O. A.CARDARELLI-CAMPOBASSO,MOL,50-59,6,19,0,25,0,0,0,25,0,25,Molise,ITF2
2021-01-04,PF/BT,14000100,P.O. A.CARDARELLI-CAMPOBASSO,MOL,60-69,9,7,0,16,0,0,0,16,0,16,Molise,ITF2
2021-01-04,PF/BT,14000100,P.O. A.CARDARELLI-CAMPOBASSO,MOL,70-79,1,0,0,1,0,0,0,1,0,1,Molise,ITF2
2021-01-04,PF/BT,14000200,P.O. SAN TIMOTEO - TERMOLI,MOL,20-29,2,3,0,5,0,0,0,5,0,5,Molise,ITF2
2021-01-04,PF/BT,14000200,P.O. SAN TIMOTEO - TERMOLI,MOL,30-39,4,8,0,12,0,0,0,12,0,12,Molise,ITF2
2021-01-04,PF/BT,14000200,P.O. SAN TIMOTEO - TERMOLI,MOL,40-49,10,22,0,32,0,0,0,32,0,32,Molise,ITF2
2021-01-04,PF/BT,14000200,P.O. SAN TIMOTEO - TERMOLI,MOL,50-59,24,26,0,46,0,0,4,50,0,50,Molise,ITF2
2021-01-04,PF/BT,14000200,P.O. SAN TIMOTEO - TERMOLI,MOL,60-69,14,9,0,22,0,0,1,23,0,23,Molise,ITF2
2021-01-04,PF/BT,14000301,P.O.ISERNIA,MOL,20-29,2,1,0,3,0,0,0,3,0,3,Molise,ITF2
2021-01-04,PF/BT,14000301,P.O.ISERNIA,MOL,30-39,4,7,0,10,0,0,1,11,0,11,Molise,ITF2
2021-01-04,PF/BT,14000301,P.O.ISERNIA,MOL,40-49,4,31,0,31,1,0,3,35,0,35,Molise,ITF2
2021-01-04,PF/BT,14000301,P.O.ISERNIA,MOL,50-59,14,11,0,21,0,0,4,25,0,25,Molise,ITF2
2021-01-04,PF/BT,14000301,P.O.ISERNIA,MOL,60-69,11,2,0,12,1,0,0,13,0,13,Molise,ITF2
2021-01-05,PF/BT,14000100,P.O. A.CARDARELLI-CAMPOBASSO,MOL,20-29,5,6,0,11,0,0,0,11,0,11,Molise,ITF2
2021-01-05,PF/BT,14000100,P.O. A.CARDARELLI-CAMPOBASSO,MOL,30-39,9,23,0,32,0,0,0,32,0,32,Molise,ITF2
2021-01-05,PF/BT,14000100,P.O. A.CARDARELLI-CAMPOBASSO,MOL,40-49,20,27,0,47,0,0,0,47,0,47,Molise,ITF2
2021-01-05,PF/BT,14000100,P.O. A.CARDARELLI-CAMPOBASSO,MOL,50-59,26,33,0,58,0,0,1,59,0,59,Molise,ITF2
2021-01-05,PF/BT,14000100,P.O. A.CARDARELLI-CAMPOBASSO,MOL,60-69,24,14,0,38,0,0,0,38,0,38,Molise,ITF2
2021-01-05,PF/BT,14000200,P.O. SAN TIMOTEO - TERMOLI,MOL,20-29,2,4,0,6,0,0,0,6,0,6,Molise,ITF2
2021-01-05,PF/BT,14000200,P.O. SAN TIMOTEO - TERMOLI,MOL,30-39,9,12,0,21,0,0,0,21,0,21,Molise,ITF2
2021-01-05,PF/BT,14000200,P.O. SAN TIMOTEO - TERMOLI,MOL,40-49,9,32,0,41,0,0,0,41,0,41,Molise,ITF2
2021-01-05,PF/BT,14000200,P.O. SAN TIMOTEO - TERMOLI,MOL,50-59,27,42,0,69,0,0,0,69,0,69,Molise,ITF2
2021-01-05,PF/BT,14000200,P.O. SAN TIMOTEO - TERMOLI,MOL,60-69,16,18,0,34,0,0,0,34,0,34,Molise,ITF2
2021-01-05,PF/BT,14000200,P.O. SAN TIMOTEO - TERMOLI,MOL,70-79,1,0,0,1,0,0,0,1,0,1,Molise,ITF2
2021-01-05,PF/BT,14000301,P.O.ISERNIA,MOL,30-39,2,2,0,4,0,0,0,4,0,4,Molise,ITF2
