TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_REGIONE,TML_NUTS
2020-12-27,PF/BT,41001,OSPEDALE CENTRALE DI BOLZANO,PAB,20-29,6,15,0,21,0,0,0,21,0,P.A. Bolzano,ITH1
2020-12-27,PF/BT,41001,OSPEDALE CENTRALE DI BOLZANO,PAB,30-39,11,14,0,25,0,0,0,25,0,P.A. Bolzano,ITH1
2020-12-27,PF/BT,41001,OSPEDALE CENTRALE DI BOLZANO,PAB,40-49,15,23,0,38,0,0,0,38,0,P.A. Bolzano,ITH1
2020-12-27,PF/BT,41001,OSPEDALE CENTRALE DI BOLZANO,PAB,50-59,23,23,0,46,0,0,0,46,0,P.A. Bolzano,ITH1
2020-12-27,PF/BT,41001,OSPEDALE CENTRALE DI BOLZANO,PAB,60-69,8,4,0,12,0,0,0,12,0,P.A. Bolzano,ITH1
2020-12-27,PF/BT,41001,OSPEDALE CENTRALE DI BOLZANO,PAB,70-79,1,0,0,1,0,0,0,1,0,P.A. Bolzano,ITH1
2020-12-27,PF/BT,41001,OSPEDALE CENTRALE DI BOLZANO,PAB,80-89,1,0,0,1,0,0,0,1,0,P.A. Bolzano,ITH1
2020-12-30,PF/BT,041005,Ospedale Aziendale di Brunico,PAB,20-29,1,2,0,3,0,0,0,3,0,P.A. Bolzano,ITH1
2020-12-30,PF/BT,041005,Ospedale Aziendale di Brunico,PAB,30-39,2,1,0,3,0,0,0,3,0,P.A. Bolzano,ITH1
2020-12-30,PF/BT,041005,Ospedale Aziendale di Brunico,PAB,40-49,9,23,0,29,3,0,0,32,0,P.A. Bolzano,ITH1
2020-12-30,PF/BT,041005,Ospedale Aziendale di Brunico,PAB,50-59,9,8,0,13,4,0,0,17,0,P.A. Bolzano,ITH1
2020-12-30,PF/BT,041005,Ospedale Aziendale di Brunico,PAB,60-69,4,1,0,5,0,0,0,5,0,P.A. Bolzano,ITH1
2020-12-30,PF/BT,41001,OSPEDALE CENTRALE DI BOLZANO,PAB,20-29,21,22,0,38,5,0,0,43,0,P.A. Bolzano,ITH1
2020-12-30,PF/BT,41001,OSPEDALE CENTRALE DI BOLZANO,PAB,30-39,27,49,0,68,8,0,0,76,0,P.A. Bolzano,ITH1
2020-12-30,PF/BT,41001,OSPEDALE CENTRALE DI BOLZANO,PAB,40-49,28,46,0,73,1,0,0,74,0,P.A. Bolzano,ITH1
