TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_TOT_SOMM,TML_REGIONE,TML_NUTS
2020-12-27,PF/BT,10401,APSP San Gaetano di Predazzo,PAT,50-59,0,2,0,2,0,0,0,2,0,2,P.A. Trento,ITH2
2020-12-27,PF/BT,10401,APSP San Gaetano di Predazzo,PAT,80-89,0,1,0,0,0,1,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,10401,APSP San Gaetano di Predazzo,PAT,90+,0,2,0,0,0,2,0,2,0,2,P.A. Trento,ITH2
2020-12-27,PF/BT,32401,APSP S.Lorenzo e S.Maria della Misericordia di Borgo Valsugana,PAT,40-49,1,0,0,1,0,0,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,32401,APSP S.Lorenzo e S.Maria della Misericordia di Borgo Valsugana,PAT,50-59,0,1,0,1,0,0,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,32401,APSP S.Lorenzo e S.Maria della Misericordia di Borgo Valsugana,PAT,70-79,0,1,0,0,0,1,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,32401,APSP S.Lorenzo e S.Maria della Misericordia di Borgo Valsugana,PAT,80-89,0,2,0,0,0,2,0,2,0,2,P.A. Trento,ITH2
2020-12-27,PF/BT,42001,Ospedale S.Chiara di Trento,PAT,20-29,1,1,0,2,0,0,0,2,0,2,P.A. Trento,ITH2
2020-12-27,PF/BT,42001,Ospedale S.Chiara di Trento,PAT,30-39,2,1,0,3,0,0,0,3,0,3,P.A. Trento,ITH2
2020-12-27,PF/BT,42001,Ospedale S.Chiara di Trento,PAT,40-49,2,5,0,7,0,0,0,7,0,7,P.A. Trento,ITH2
2020-12-27,PF/BT,42001,Ospedale S.Chiara di Trento,PAT,50-59,4,9,0,11,2,0,0,13,0,13,P.A. Trento,ITH2
2020-12-27,PF/BT,42001,Ospedale S.Chiara di Trento,PAT,60-69,6,4,0,9,1,0,0,10,0,10,P.A. Trento,ITH2
2020-12-27,PF/BT,42004,Ospedale S.Lorenzo di Borgo Valsugana,PAT,30-39,0,1,0,1,0,0,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,42004,Ospedale S.Lorenzo di Borgo Valsugana,PAT,40-49,1,1,0,2,0,0,0,2,0,2,P.A. Trento,ITH2
2020-12-27,PF/BT,42004,Ospedale S.Lorenzo di Borgo Valsugana,PAT,50-59,0,2,0,2,0,0,0,2,0,2,P.A. Trento,ITH2
2020-12-27,PF/BT,42005,Ospedale delle Valli del Noce di Cles,PAT,30-39,0,1,0,1,0,0,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,42005,Ospedale delle Valli del Noce di Cles,PAT,40-49,1,0,0,1,0,0,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,42005,Ospedale delle Valli del Noce di Cles,PAT,50-59,1,0,0,1,0,0,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,42005,Ospedale delle Valli del Noce di Cles,PAT,60-69,2,0,0,2,0,0,0,2,0,2,P.A. Trento,ITH2
2020-12-27,PF/BT,42006,Ospedale S.Maria del Carmine di Rovereto,PAT,30-39,0,1,0,1,0,0,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,42006,Ospedale S.Maria del Carmine di Rovereto,PAT,40-49,1,1,0,2,0,0,0,2,0,2,P.A. Trento,ITH2
2020-12-27,PF/BT,42006,Ospedale S.Maria del Carmine di Rovereto,PAT,50-59,0,1,0,1,0,0,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,42006,Ospedale S.Maria del Carmine di Rovereto,PAT,60-69,1,0,0,1,0,0,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,42007,Ospedale di Tione,PAT,40-49,0,2,0,2,0,0,0,2,0,2,P.A. Trento,ITH2
2020-12-27,PF/BT,42007,Ospedale di Tione,PAT,50-59,2,0,0,2,0,0,0,2,0,2,P.A. Trento,ITH2
2020-12-27,PF/BT,42007,Ospedale di Tione,PAT,60-69,1,0,0,1,0,0,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,42010,Ospedale di Arco,PAT,30-39,0,2,0,2,0,0,0,2,0,2,P.A. Trento,ITH2
2020-12-27,PF/BT,42010,Ospedale di Arco,PAT,50-59,2,0,0,2,0,0,0,2,0,2,P.A. Trento,ITH2
2020-12-27,PF/BT,42010,Ospedale di Arco,PAT,60-69,1,0,0,1,0,0,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,42014,Ospedale di Fiemme di Cavalese,PAT,20-29,0,1,0,1,0,0,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,42014,Ospedale di Fiemme di Cavalese,PAT,40-49,0,1,0,1,0,0,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,42014,Ospedale di Fiemme di Cavalese,PAT,60-69,3,0,0,3,0,0,0,3,0,3,P.A. Trento,ITH2
2020-12-27,PF/BT,52008,SPES Villa Belfonte di Trento,PAT,20-29,0,1,0,1,0,0,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,52008,SPES Villa Belfonte di Trento,PAT,40-49,0,1,0,1,0,0,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,52008,SPES Villa Belfonte di Trento,PAT,70-79,1,0,0,0,0,1,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,52008,SPES Villa Belfonte di Trento,PAT,80-89,0,1,0,0,0,1,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,52008,SPES Villa Belfonte di Trento,PAT,90+,0,1,0,0,0,1,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,60501,APSP Santa Maria di Cles,PAT,40-49,0,2,0,2,0,0,0,2,0,2,P.A. Trento,ITH2
2020-12-27,PF/BT,60501,APSP Santa Maria di Cles,PAT,70-79,1,0,0,0,0,1,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,60501,APSP Santa Maria di Cles,PAT,80-89,0,1,0,0,0,1,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,60501,APSP Santa Maria di Cles,PAT,90+,1,0,0,0,0,1,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,82101,APSP Centro Residenziale Abelardo Collini di Pinzolo,PAT,20-29,1,0,0,1,0,0,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,82101,APSP Centro Residenziale Abelardo Collini di Pinzolo,PAT,50-59,1,0,0,0,0,1,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,82101,APSP Centro Residenziale Abelardo Collini di Pinzolo,PAT,60-69,0,1,0,1,0,0,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,82101,APSP Centro Residenziale Abelardo Collini di Pinzolo,PAT,80-89,1,0,0,0,0,1,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,82101,APSP Centro Residenziale Abelardo Collini di Pinzolo,PAT,90+,0,1,0,0,0,1,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,92100,APSP Città di Riva di Riva del Garda,PAT,50-59,0,3,0,3,0,0,0,3,0,3,P.A. Trento,ITH2
2020-12-27,PF/BT,92100,APSP Città di Riva di Riva del Garda,PAT,60-69,0,1,0,0,0,1,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,92100,APSP Città di Riva di Riva del Garda,PAT,80-89,0,1,0,0,0,1,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,103001,APSP Clementino Vannetti di Rovereto,PAT,40-49,0,1,0,1,0,0,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,103001,APSP Clementino Vannetti di Rovereto,PAT,50-59,0,1,0,1,0,0,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,103001,APSP Clementino Vannetti di Rovereto,PAT,70-79,1,0,0,0,0,1,0,1,0,1,P.A. Trento,ITH2
2020-12-27,PF/BT,103001,APSP Clementino Vannetti di Rovereto,PAT,80-89,0,2,0,0,0,2,0,2,0,2,P.A. Trento,ITH2
2020-12-31,PF/BT,10401,APSP San Gaetano di Predazzo,PAT,20-29,1,2,0,3,0,0,0,3,0,3,P.A. Trento,ITH2
2020-12-31,PF/BT,10401,APSP San Gaetano di Predazzo,PAT,30-39,2,2,0,4,0,0,0,4,0,4,P.A. Trento,ITH2
2020-12-31,PF/BT,10401,APSP San Gaetano di Predazzo,PAT,40-49,1,12,0,13,0,0,0,13,0,13,P.A. Trento,ITH2
2020-12-31,PF/BT,10401,APSP San Gaetano di Predazzo,PAT,50-59,2,5,0,6,0,1,0,7,0,7,P.A. Trento,ITH2
2020-12-31,PF/BT,10401,APSP San Gaetano di Predazzo,PAT,60-69,3,3,0,1,0,5,0,6,0,6,P.A. Trento,ITH2
2020-12-31,PF/BT,10401,APSP San Gaetano di Predazzo,PAT,70-79,10,4,0,0,0,14,0,14,0,14,P.A. Trento,ITH2
2020-12-31,PF/BT,10401,APSP San Gaetano di Predazzo,PAT,80-89,5,8,0,0,0,13,0,13,0,13,P.A. Trento,ITH2
2020-12-31,PF/BT,10401,APSP San Gaetano di Predazzo,PAT,90+,0,16,0,0,0,16,0,16,0,16,P.A. Trento,ITH2
2020-12-31,PF/BT,20301,APSP Valle del Vanoi Canal S.Bovo,PAT,40-49,1,2,0,2,0,1,0,3,0,3,P.A. Trento,ITH2
2020-12-31,PF/BT,20301,APSP Valle del Vanoi Canal S.Bovo,PAT,50-59,1,1,0,1,0,1,0,2,0,2,P.A. Trento,ITH2
