TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_REGIONE,TML_NUTS
2020-12-27,PF/BT,2601,CENTRO VACC. AMEDEO DI SAVOIA,PIE,20-29,10,25,0,35,0,0,0,35,0,Piemonte,ITC1
2020-12-27,PF/BT,2601,CENTRO VACC. AMEDEO DI SAVOIA,PIE,30-39,15,25,0,39,1,0,0,40,0,Piemonte,ITC1
2020-12-27,PF/BT,2601,CENTRO VACC. AMEDEO DI SAVOIA,PIE,40-49,15,38,0,52,1,0,0,53,0,Piemonte,ITC1
2020-12-27,PF/BT,2601,CENTRO VACC. AMEDEO DI SAVOIA,PIE,50-59,20,43,0,62,1,0,0,63,0,Piemonte,ITC1
2020-12-27,PF/BT,2601,CENTRO VACC. AMEDEO DI SAVOIA,PIE,60-69,15,14,0,29,0,0,0,29,0,Piemonte,ITC1
2020-12-27,PF/BT,3701,CENTRO VACC S G BOSCO,PIE,20-29,3,6,0,9,0,0,0,9,0,Piemonte,ITC1
2020-12-27,PF/BT,3701,CENTRO VACC S G BOSCO,PIE,30-39,11,13,0,24,0,0,0,24,0,Piemonte,ITC1
2020-12-27,PF/BT,3701,CENTRO VACC S G BOSCO,PIE,40-49,8,18,0,26,0,0,0,26,0,Piemonte,ITC1
2020-12-27,PF/BT,3701,CENTRO VACC S G BOSCO,PIE,50-59,7,14,0,18,3,0,0,21,0,Piemonte,ITC1
2020-12-27,PF/BT,3701,CENTRO VACC S G BOSCO,PIE,60-69,7,3,0,9,1,0,0,10,0,Piemonte,ITC1
2020-12-27,PF/BT,38301,CENTRO VACC CITTÀ DELLA SALUTE,PIE,20-29,4,9,0,13,0,0,0,13,0,Piemonte,ITC1
2020-12-27,PF/BT,38301,CENTRO VACC CITTÀ DELLA SALUTE,PIE,30-39,8,7,0,15,0,0,0,15,0,Piemonte,ITC1
2020-12-27,PF/BT,38301,CENTRO VACC CITTÀ DELLA SALUTE,PIE,40-49,8,11,0,15,4,0,0,19,0,Piemonte,ITC1
2020-12-27,PF/BT,38301,CENTRO VACC CITTÀ DELLA SALUTE,PIE,50-59,16,14,0,22,8,0,0,30,0,Piemonte,ITC1
2020-12-27,PF/BT,38301,CENTRO VACC CITTÀ DELLA SALUTE,PIE,60-69,9,4,0,11,2,0,0,13,0,Piemonte,ITC1
2020-12-27,PF/BT,39801,CENTRO VACCINALE S. CROCE CN,PIE,20-29,0,3,0,3,0,0,0,3,0,Piemonte,ITC1
2020-12-27,PF/BT,39801,CENTRO VACCINALE S. CROCE CN,PIE,30-39,4,11,0,15,0,0,0,15,0,Piemonte,ITC1
2020-12-27,PF/BT,39801,CENTRO VACCINALE S. CROCE CN,PIE,40-49,7,9,0,16,0,0,0,16,0,Piemonte,ITC1
2020-12-27,PF/BT,39801,CENTRO VACCINALE S. CROCE CN,PIE,50-59,13,22,0,33,2,0,0,35,0,Piemonte,ITC1
2020-12-27,PF/BT,39801,CENTRO VACCINALE S. CROCE CN,PIE,60-69,10,1,0,11,0,0,0,11,0,Piemonte,ITC1
2020-12-27,PF/BT,39901,CENTRO VACC. AOU ALESSANDRIA,PIE,20-29,1,3,0,2,2,0,0,4,0,Piemonte,ITC1
2020-12-27,PF/BT,39901,CENTRO VACC. AOU ALESSANDRIA,PIE,30-39,5,5,0,7,3,0,0,10,0,Piemonte,ITC1
2020-12-27,PF/BT,39901,CENTRO VACC. AOU ALESSANDRIA,PIE,40-49,10,11,0,15,6,0,0,21,0,Piemonte,ITC1
2020-12-27,PF/BT,39901,CENTRO VACC. AOU ALESSANDRIA,PIE,50-59,9,25,0,23,11,0,0,34,0,Piemonte,ITC1
