TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_REGIONE,TML_NUTS
2020-12-27,PF/BT,0,Ambulatorio vaccinale Foggia,PUG,20-29,2,1,0,3,0,0,0,3,0,Puglia,ITF4
2020-12-27,PF/BT,0,Ambulatorio vaccinale Foggia,PUG,30-39,3,6,0,9,0,0,0,9,0,Puglia,ITF4
2020-12-27,PF/BT,0,Ambulatorio vaccinale Foggia,PUG,40-49,3,3,0,6,0,0,0,6,0,Puglia,ITF4
2020-12-27,PF/BT,0,Ambulatorio vaccinale Foggia,PUG,50-59,1,4,0,5,0,0,0,5,0,Puglia,ITF4
2020-12-27,PF/BT,0,Ambulatorio vaccinale Foggia,PUG,60-69,4,2,0,6,0,0,0,6,0,Puglia,ITF4
2020-12-27,PF/BT,0,Ambulatorio vaccinale Foggia,PUG,70-79,1,0,0,1,0,0,0,1,0,Puglia,ITF4
2020-12-27,PF/BT,100188,RSSA VILLA GIOVANNA,PUG,20-29,0,2,0,2,0,0,0,2,0,Puglia,ITF4
2020-12-27,PF/BT,100188,RSSA VILLA GIOVANNA,PUG,30-39,1,3,0,3,1,0,0,4,0,Puglia,ITF4
2020-12-27,PF/BT,100188,RSSA VILLA GIOVANNA,PUG,40-49,1,3,0,2,2,0,0,4,0,Puglia,ITF4
2020-12-27,PF/BT,100188,RSSA VILLA GIOVANNA,PUG,50-59,2,2,0,2,2,0,0,4,0,Puglia,ITF4
2020-12-27,PF/BT,100188,RSSA VILLA GIOVANNA,PUG,60-69,2,2,0,1,0,3,0,4,0,Puglia,ITF4
2020-12-27,PF/BT,100188,RSSA VILLA GIOVANNA,PUG,70-79,1,2,0,0,0,3,0,3,0,Puglia,ITF4
2020-12-27,PF/BT,100188,RSSA VILLA GIOVANNA,PUG,80-89,3,5,0,0,0,8,0,8,0,Puglia,ITF4
2020-12-27,PF/BT,100188,RSSA VILLA GIOVANNA,PUG,90+,0,1,0,0,0,1,0,1,0,Puglia,ITF4
2020-12-27,PF/BT,160062,OSPEDALE GALATINA 'S. CATERINA NOVELLA',PUG,20-29,0,1,0,1,0,0,0,1,0,Puglia,ITF4
