TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_TOT_SOMM,TML_REGIONE,TML_NUTS
2020-12-27,PF/BT,19092701.0,HSP11 - Ospedale Civico,SIC,20-29,0,2,0,2,0,0,0,2,0,2,Sicilia,ITG1
2020-12-27,PF/BT,19092701.0,HSP11 - Ospedale Civico,SIC,30-39,3,4,0,7,0,0,0,7,0,7,Sicilia,ITG1
2020-12-27,PF/BT,19092701.0,HSP11 - Ospedale Civico,SIC,40-49,8,4,0,11,0,0,1,12,0,12,Sicilia,ITG1
2020-12-27,PF/BT,19092701.0,HSP11 - Ospedale Civico,SIC,50-59,11,3,0,14,0,0,0,14,0,14,Sicilia,ITG1
2020-12-27,PF/BT,19092701.0,HSP11 - Ospedale Civico,SIC,60-69,18,4,0,22,0,0,0,22,0,22,Sicilia,ITG1
2020-12-27,PF/BT,19092701.0,HSP11 - Ospedale Civico,SIC,70-79,3,0,0,3,0,0,0,3,0,3,Sicilia,ITG1
2020-12-27,PF/BT,818000.0,STS11 - R.S.A. BUON PASTORE ONLUS,SIC,20-29,0,1,0,1,0,0,0,1,0,1,Sicilia,ITG1
2020-12-27,PF/BT,818000.0,STS11 - R.S.A. BUON PASTORE ONLUS,SIC,30-39,1,1,0,2,0,0,0,2,0,2,Sicilia,ITG1
2020-12-27,PF/BT,818000.0,STS11 - R.S.A. BUON PASTORE ONLUS,SIC,40-49,0,1,0,0,1,0,0,1,0,1,Sicilia,ITG1
2020-12-27,PF/BT,818000.0,STS11 - R.S.A. BUON PASTORE ONLUS,SIC,50-59,2,2,0,0,0,4,0,4,0,4,Sicilia,ITG1
2020-12-27,PF/BT,818000.0,STS11 - R.S.A. BUON PASTORE ONLUS,SIC,60-69,1,2,0,0,0,3,0,3,0,3,Sicilia,ITG1
2020-12-27,PF/BT,818000.0,STS11 - R.S.A. BUON PASTORE ONLUS,SIC,70-79,6,4,0,1,0,9,0,10,0,10,Sicilia,ITG1
2020-12-27,PF/BT,818000.0,STS11 - R.S.A. BUON PASTORE ONLUS,SIC,80-89,2,6,0,0,0,8,0,8,0,8,Sicilia,ITG1
2020-12-27,PF/BT,818000.0,STS11 - R.S.A. BUON PASTORE ONLUS,SIC,90+,0,1,0,0,0,1,0,1,0,1,Sicilia,ITG1
2020-12-28,PF/BT,190337.0,HSP11 - P.O. VILLA DELLE GINESTRE,SIC,20-29,5,3,0,8,0,0,0,8,0,8,Sicilia,ITG1
2020-12-28,PF/BT,190337.0,HSP11 - P.O. VILLA DELLE GINESTRE,SIC,30-39,5,4,0,9,0,0,0,9,0,9,Sicilia,ITG1
2020-12-28,PF/BT,190337.0,HSP11 - P.O. VILLA DELLE GINESTRE,SIC,40-49,7,3,0,10,0,0,0,10,0,10,Sicilia,ITG1
2020-12-28,PF/BT,190337.0,HSP11 - P.O. VILLA DELLE GINESTRE,SIC,50-59,6,6,0,10,2,0,0,12,0,12,Sicilia,ITG1
2020-12-28,PF/BT,190337.0,HSP11 - P.O. VILLA DELLE GINESTRE,SIC,60-69,12,4,0,16,0,0,0,16,0,16,Sicilia,ITG1
2020-12-28,PF/BT,19092601.0,HSP11 - P.O. Villa Sofia,SIC,20-29,1,1,0,2,0,0,0,2,0,2,Sicilia,ITG1
2020-12-28,PF/BT,19092601.0,HSP11 - P.O. Villa Sofia,SIC,30-39,3,2,0,5,0,0,0,5,0,5,Sicilia,ITG1
2020-12-28,PF/BT,19092601.0,HSP11 - P.O. Villa Sofia,SIC,40-49,6,6,0,12,0,0,0,12,0,12,Sicilia,ITG1
2020-12-28,PF/BT,19092601.0,HSP11 - P.O. Villa Sofia,SIC,50-59,12,8,0,20,0,0,0,20,0,20,Sicilia,ITG1
2020-12-28,PF/BT,19092601.0,HSP11 - P.O. Villa Sofia,SIC,60-69,7,8,0,15,0,0,0,15,0,15,Sicilia,ITG1
2020-12-28,PF/BT,19092701.0,HSP11 - Ospedale Civico,SIC,20-29,2,3,0,5,0,0,0,5,0,5,Sicilia,ITG1
2020-12-28,PF/BT,19092701.0,HSP11 - Ospedale Civico,SIC,30-39,12,5,0,17,0,0,0,17,0,17,Sicilia,ITG1
2020-12-28,PF/BT,19092701.0,HSP11 - Ospedale Civico,SIC,40-49,6,9,0,15,0,0,0,15,0,15,Sicilia,ITG1
2020-12-28,PF/BT,19092701.0,HSP11 - Ospedale Civico,SIC,50-59,8,1,0,9,0,0,0,9,0,9,Sicilia,ITG1
2020-12-28,PF/BT,19092701.0,HSP11 - Ospedale Civico,SIC,60-69,6,3,0,9,0,0,0,9,0,9,Sicilia,ITG1
2020-12-28,PF/BT,190928.0,HSP11 - AZ.OSP.UNIV.P.GIACCONE,SIC,20-29,6,7,0,13,0,0,0,13,0,13,Sicilia,ITG1
2020-12-28,PF/BT,190928.0,HSP11 - AZ.OSP.UNIV.P.GIACCONE,SIC,30-39,5,9,0,14,0,0,0,14,0,14,Sicilia,ITG1
2020-12-28,PF/BT,190928.0,HSP11 - AZ.OSP.UNIV.P.GIACCONE,SIC,40-49,4,2,0,6,0,0,0,6,0,6,Sicilia,ITG1
2020-12-28,PF/BT,190928.0,HSP11 - AZ.OSP.UNIV.P.GIACCONE,SIC,50-59,3,1,0,4,0,0,0,4,0,4,Sicilia,ITG1
2020-12-28,PF/BT,190928.0,HSP11 - AZ.OSP.UNIV.P.GIACCONE,SIC,60-69,12,1,0,13,0,0,0,13,0,13,Sicilia,ITG1
2020-12-29,PF/BT,190337.0,HSP11 - P.O. VILLA DELLE GINESTRE,SIC,20-29,2,2,0,4,0,0,0,4,0,4,Sicilia,ITG1
2020-12-29,PF/BT,190337.0,HSP11 - P.O. VILLA DELLE GINESTRE,SIC,30-39,4,5,0,9,0,0,0,9,0,9,Sicilia,ITG1
2020-12-29,PF/BT,190337.0,HSP11 - P.O. VILLA DELLE GINESTRE,SIC,40-49,8,5,0,13,0,0,0,13,0,13,Sicilia,ITG1
2020-12-29,PF/BT,190337.0,HSP11 - P.O. VILLA DELLE GINESTRE,SIC,50-59,4,5,0,9,0,0,0,9,0,9,Sicilia,ITG1
2020-12-29,PF/BT,190337.0,HSP11 - P.O. VILLA DELLE GINESTRE,SIC,60-69,18,7,0,25,0,0,0,25,0,25,Sicilia,ITG1
2020-12-29,PF/BT,19092601.0,HSP11 - P.O. Villa Sofia,SIC,20-29,2,1,0,3,0,0,0,3,0,3,Sicilia,ITG1
2020-12-29,PF/BT,19092601.0,HSP11 - P.O. Villa Sofia,SIC,30-39,4,2,0,6,0,0,0,6,0,6,Sicilia,ITG1
2020-12-29,PF/BT,19092601.0,HSP11 - P.O. Villa Sofia,SIC,40-49,9,6,0,15,0,0,0,15,0,15,Sicilia,ITG1
2020-12-29,PF/BT,19092601.0,HSP11 - P.O. Villa Sofia,SIC,50-59,11,5,0,16,0,0,0,16,0,16,Sicilia,ITG1
