TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_REGIONE,TML_NUTS
2020-12-27,PF/BT,033301,RSA S. Margherita,UMB,40-49,0,1,0,1,0,0,0,1,0,Umbria,ITI2
2020-12-27,PF/BT,033301,RSA S. Margherita,UMB,50-59,1,1,0,2,0,0,0,2,0,Umbria,ITI2
2020-12-27,PF/BT,033301,RSA S. Margherita,UMB,60-69,3,2,0,0,0,5,0,5,0,Umbria,ITI2
2020-12-27,PF/BT,033301,RSA S. Margherita,UMB,70-79,2,3,0,0,0,5,0,5,0,Umbria,ITI2
2020-12-27,PF/BT,033301,RSA S. Margherita,UMB,80-89,1,5,0,0,0,6,0,6,0,Umbria,ITI2
2020-12-27,PF/BT,033301,RSA S. Margherita,UMB,90+,1,0,0,0,0,1,0,1,0,Umbria,ITI2
2020-12-27,PF/BT,080101,Presidio Ospedaliero di Spoleto,UMB,20-29,4,4,0,8,0,0,0,8,0,Umbria,ITI2
2020-12-27,PF/BT,080101,Presidio Ospedaliero di Spoleto,UMB,30-39,3,8,0,11,0,0,0,11,0,Umbria,ITI2
2020-12-27,PF/BT,080101,Presidio Ospedaliero di Spoleto,UMB,40-49,4,7,0,11,0,0,0,11,0,Umbria,ITI2
2020-12-27,PF/BT,080101,Presidio Ospedaliero di Spoleto,UMB,50-59,6,10,0,15,1,0,0,16,0,Umbria,ITI2
2020-12-27,PF/BT,080101,Presidio Ospedaliero di Spoleto,UMB,60-69,9,4,0,13,0,0,0,13,0,Umbria,ITI2
2020-12-27,PF/BT,100805,"Ospedale ""S.Matteo degli Infermi"" di Spoleto",UMB,20-29,1,2,0,2,1,0,0,3,0,Umbria,ITI2
2020-12-27,PF/BT,100805,"Ospedale ""S.Matteo degli Infermi"" di Spoleto",UMB,30-39,7,1,0,7,1,0,0,8,0,Umbria,ITI2
2020-12-27,PF/BT,100805,"Ospedale ""S.Matteo degli Infermi"" di Spoleto",UMB,40-49,4,8,0,12,0,0,0,12,0,Umbria,ITI2
2020-12-27,PF/BT,100805,"Ospedale ""S.Matteo degli Infermi"" di Spoleto",UMB,50-59,15,9,0,23,1,0,0,24,0,Umbria,ITI2
2020-12-27,PF/BT,100805,"Ospedale ""S.Matteo degli Infermi"" di Spoleto",UMB,60-69,14,3,0,16,1,0,0,17,0,Umbria,ITI2
2020-12-27,PF/BT,100805,"Ospedale ""S.Matteo degli Infermi"" di Spoleto",UMB,70-79,1,0,0,1,0,0,0,1,0,Umbria,ITI2
2020-12-31,PF/BT,10080101,Ospedale di Città di Castello,UMB,30-39,1,0,0,1,0,0,0,1,0,Umbria,ITI2
2020-12-31,PF/BT,10080101,Ospedale di Città di Castello,UMB,40-49,6,17,0,23,0,0,0,23,0,Umbria,ITI2
2020-12-31,PF/BT,10080101,Ospedale di Città di Castello,UMB,50-59,8,19,0,27,0,0,0,27,0,Umbria,ITI2
2020-12-31,PF/BT,10080101,Ospedale di Città di Castello,UMB,60-69,5,4,0,9,0,0,0,9,0,Umbria,ITI2
2020-12-31,PF/BT,100901,PVO Azienda Ospedaliera di Perugia,UMB,20-29,2,6,0,8,0,0,0,8,0,Umbria,ITI2
2020-12-31,PF/BT,100901,PVO Azienda Ospedaliera di Perugia,UMB,30-39,10,17,0,27,0,0,0,27,0,Umbria,ITI2
2020-12-31,PF/BT,100901,PVO Azienda Ospedaliera di Perugia,UMB,40-49,9,18,0,27,0,0,0,27,0,Umbria,ITI2
2020-12-31,PF/BT,100901,PVO Azienda Ospedaliera di Perugia,UMB,50-59,15,37,0,52,0,0,0,52,0,Umbria,ITI2
2020-12-31,PF/BT,100901,PVO Azienda Ospedaliera di Perugia,UMB,60-69,11,6,0,16,1,0,0,17,0,Umbria,ITI2
2020-12-31,PF/BT,100902,AZIENDA OSPEDALIERA SANTA MARIA DI TERNI,UMB,20-29,3,6,0,9,0,0,0,9,0,Umbria,ITI2
2020-12-31,PF/BT,100902,AZIENDA OSPEDALIERA SANTA MARIA DI TERNI,UMB,30-39,7,11,0,18,0,0,0,18,0,Umbria,ITI2
2020-12-31,PF/BT,100902,AZIENDA OSPEDALIERA SANTA MARIA DI TERNI,UMB,40-49,3,14,0,17,0,0,0,17,0,Umbria,ITI2
2020-12-31,PF/BT,100902,AZIENDA OSPEDALIERA SANTA MARIA DI TERNI,UMB,50-59,3,6,0,9,0,0,0,9,0,Umbria,ITI2
2020-12-31,PF/BT,100902,AZIENDA OSPEDALIERA SANTA MARIA DI TERNI,UMB,60-69,6,1,0,7,0,0,0,7,0,Umbria,ITI2
2021-01-01,PF/BT,080101,Presidio Ospedaliero di Spoleto,UMB,20-29,0,2,0,2,0,0,0,2,0,Umbria,ITI2
2021-01-01,PF/BT,080101,Presidio Ospedaliero di Spoleto,UMB,30-39,8,8,0,16,0,0,0,16,0,Umbria,ITI2
2021-01-01,PF/BT,080101,Presidio Ospedaliero di Spoleto,UMB,40-49,5,11,0,15,1,0,0,16,0,Umbria,ITI2
2021-01-01,PF/BT,080101,Presidio Ospedaliero di Spoleto,UMB,50-59,6,15,0,20,1,0,0,21,0,Umbria,ITI2
2021-01-01,PF/BT,080101,Presidio Ospedaliero di Spoleto,UMB,60-69,3,2,0,4,1,0,0,5,0,Umbria,ITI2
2021-01-01,PF/BT,10080101,Ospedale di Città di Castello,UMB,30-39,3,7,0,10,0,0,0,10,0,Umbria,ITI2
2021-01-01,PF/BT,10080101,Ospedale di Città di Castello,UMB,40-49,5,18,0,23,0,0,0,23,0,Umbria,ITI2
2021-01-01,PF/BT,10080101,Ospedale di Città di Castello,UMB,50-59,5,14,0,19,0,0,0,19,0,Umbria,ITI2
2021-01-01,PF/BT,10080101,Ospedale di Città di Castello,UMB,60-69,2,0,0,2,0,0,0,2,0,Umbria,ITI2
2021-01-01,PF/BT,100901,OPV Azienda Ospedaliera di Perugia,UMB,20-29,3,3,0,6,0,0,0,6,0,Umbria,ITI2
2021-01-01,PF/BT,100901,OPV Azienda Ospedaliera di Perugia,UMB,30-39,14,20,0,34,0,0,0,34,0,Umbria,ITI2
2021-01-01,PF/BT,100901,OPV Azienda Ospedaliera di Perugia,UMB,40-49,16,19,0,35,0,0,0,35,0,Umbria,ITI2
2021-01-01,PF/BT,100901,OPV Azienda Ospedaliera di Perugia,UMB,50-59,7,17,0,24,0,0,0,24,0,Umbria,ITI2
2021-01-01,PF/BT,100901,OPV Azienda Ospedaliera di Perugia,UMB,60-69,4,4,0,8,0,0,0,8,0,Umbria,ITI2
2021-01-01,PF/BT,100902,AZIENDA OSPEDALIERA SANTA MARIA DI TERNI,UMB,20-29,1,4,0,5,0,0,0,5,0,Umbria,ITI2
2021-01-01,PF/BT,100902,AZIENDA OSPEDALIERA SANTA MARIA DI TERNI,UMB,30-39,8,4,0,12,0,0,0,12,0,Umbria,ITI2
2021-01-01,PF/BT,100902,AZIENDA OSPEDALIERA SANTA MARIA DI TERNI,UMB,40-49,6,12,0,18,0,0,0,18,0,Umbria,ITI2
2021-01-01,PF/BT,100902,AZIENDA OSPEDALIERA SANTA MARIA DI TERNI,UMB,50-59,7,6,0,13,0,0,0,13,0,Umbria,ITI2
2021-01-01,PF/BT,100902,AZIENDA OSPEDALIERA SANTA MARIA DI TERNI,UMB,60-69,7,5,0,12,0,0,0,12,0,Umbria,ITI2
2021-01-02,PF/BT,10080101,Ospedale Città di Castello,UMB,20-29,0,9,0,9,0,0,0,9,0,Umbria,ITI2
2021-01-02,PF/BT,10080101,Ospedale Città di Castello,UMB,30-39,12,18,0,30,0,0,0,30,0,Umbria,ITI2
2021-01-02,PF/BT,10080101,Ospedale Città di Castello,UMB,40-49,1,7,0,8,0,0,0,8,0,Umbria,ITI2
2021-01-02,PF/BT,10080101,Ospedale Città di Castello,UMB,50-59,5,5,0,10,0,0,0,10,0,Umbria,ITI2
2021-01-02,PF/BT,10080101,Ospedale Città di Castello,UMB,60-69,2,1,0,3,0,0,0,3,0,Umbria,ITI2
2021-01-02,PF/BT,10080501,Presidio Ospedaliero di Spoleto,UMB,20-29,1,4,0,5,0,0,0,5,0,Umbria,ITI2
2021-01-02,PF/BT,10080501,Presidio Ospedaliero di Spoleto,UMB,30-39,2,13,0,15,0,0,0,15,0,Umbria,ITI2
2021-01-02,PF/BT,10080501,Presidio Ospedaliero di Spoleto,UMB,40-49,1,16,0,17,0,0,0,17,0,Umbria,ITI2
2021-01-02,PF/BT,10080501,Presidio Ospedaliero di Spoleto,UMB,50-59,3,12,0,15,0,0,0,15,0,Umbria,ITI2
2021-01-02,PF/BT,10080501,Presidio Ospedaliero di Spoleto,UMB,60-69,4,4,0,8,0,0,0,8,0,Umbria,ITI2
2021-01-02,PF/BT,100901,OPV Azienda Ospedaliera di Perugia,UMB,20-29,0,4,0,4,0,0,0,4,0,Umbria,ITI2
2021-01-02,PF/BT,100901,OPV Azienda Ospedaliera di Perugia,UMB,30-39,14,26,0,40,0,0,0,40,0,Umbria,ITI2
2021-01-02,PF/BT,100901,OPV Azienda Ospedaliera di Perugia,UMB,40-49,20,16,0,36,0,0,0,36,0,Umbria,ITI2
2021-01-02,PF/BT,100901,OPV Azienda Ospedaliera di Perugia,UMB,50-59,20,10,0,30,0,0,0,30,0,Umbria,ITI2
2021-01-02,PF/BT,100901,OPV Azienda Ospedaliera di Perugia,UMB,60-69,10,5,0,14,1,0,0,15,0,Umbria,ITI2
2021-01-02,PF/BT,100902,AZIENDA OSPEDALIERA SANTA MARIA DI TERNI,UMB,20-29,0,1,0,1,0,0,0,1,0,Umbria,ITI2
2021-01-02,PF/BT,100902,AZIENDA OSPEDALIERA SANTA MARIA DI TERNI,UMB,30-39,6,7,0,13,0,0,0,13,0,Umbria,ITI2
2021-01-02,PF/BT,100902,AZIENDA OSPEDALIERA SANTA MARIA DI TERNI,UMB,40-49,5,12,0,17,0,0,0,17,0,Umbria,ITI2
2021-01-02,PF/BT,100902,AZIENDA OSPEDALIERA SANTA MARIA DI TERNI,UMB,50-59,5,12,0,17,0,0,0,17,0,Umbria,ITI2
2021-01-02,PF/BT,100902,AZIENDA OSPEDALIERA SANTA MARIA DI TERNI,UMB,60-69,9,2,0,11,0,0,0,11,0,Umbria,ITI2
2021-01-03,PF/BT,10080101,Ospedale Città di Castello,UMB,20-29,3,11,0,14,0,0,0,14,0,Umbria,ITI2
2021-01-03,PF/BT,10080101,Ospedale Città di Castello,UMB,30-39,6,10,0,16,0,0,0,16,0,Umbria,ITI2
2021-01-03,PF/BT,10080101,Ospedale Città di Castello,UMB,40-49,5,14,0,19,0,0,0,19,0,Umbria,ITI2
2021-01-03,PF/BT,10080101,Ospedale Città di Castello,UMB,50-59,6,9,0,15,0,0,0,15,0,Umbria,ITI2
2021-01-03,PF/BT,10080101,Ospedale Città di Castello,UMB,60-69,2,0,0,2,0,0,0,2,0,Umbria,ITI2
2021-01-03,PF/BT,10080501,Presidio Ospedaliero di Spoleto,UMB,20-29,2,4,0,6,0,0,0,6,0,Umbria,ITI2
2021-01-03,PF/BT,10080501,Presidio Ospedaliero di Spoleto,UMB,30-39,4,4,0,8,0,0,0,8,0,Umbria,ITI2
2021-01-03,PF/BT,10080501,Presidio Ospedaliero di Spoleto,UMB,40-49,9,12,0,21,0,0,0,21,0,Umbria,ITI2
2021-01-03,PF/BT,10080501,Presidio Ospedaliero di Spoleto,UMB,50-59,6,11,0,17,0,0,0,17,0,Umbria,ITI2
2021-01-03,PF/BT,10080501,Presidio Ospedaliero di Spoleto,UMB,60-69,6,2,0,8,0,0,0,8,0,Umbria,ITI2
2021-01-03,PF/BT,100901,OPV Azienda Ospedaliera di Perugia,UMB,20-29,2,6,0,8,0,0,0,8,0,Umbria,ITI2
2021-01-03,PF/BT,100901,OPV Azienda Ospedaliera di Perugia,UMB,30-39,7,16,0,23,0,0,0,23,0,Umbria,ITI2
2021-01-03,PF/BT,100901,OPV Azienda Ospedaliera di Perugia,UMB,40-49,9,8,0,17,0,0,0,17,0,Umbria,ITI2
2021-01-03,PF/BT,100901,OPV Azienda Ospedaliera di Perugia,UMB,50-59,12,17,0,29,0,0,0,29,0,Umbria,ITI2
2021-01-03,PF/BT,100901,OPV Azienda Ospedaliera di Perugia,UMB,60-69,6,1,0,7,0,0,0,7,0,Umbria,ITI2
2021-01-03,PF/BT,100902,AZIENDA OSPEDALIERA SANTA MARIA DI TERNI,UMB,20-29,1,6,0,7,0,0,0,7,0,Umbria,ITI2
2021-01-03,PF/BT,100902,AZIENDA OSPEDALIERA SANTA MARIA DI TERNI,UMB,30-39,9,9,0,18,0,0,0,18,0,Umbria,ITI2
2021-01-03,PF/BT,100902,AZIENDA OSPEDALIERA SANTA MARIA DI TERNI,UMB,40-49,9,14,0,23,0,0,0,23,0,Umbria,ITI2
2021-01-03,PF/BT,100902,AZIENDA OSPEDALIERA SANTA MARIA DI TERNI,UMB,50-59,3,5,0,8,0,0,0,8,0,Umbria,ITI2
2021-01-03,PF/BT,100902,AZIENDA OSPEDALIERA SANTA MARIA DI TERNI,UMB,60-69,3,1,0,4,0,0,0,4,0,Umbria,ITI2
2021-01-04,PF/BT,10080101,Ospedale di Città di Castello,UMB,20-29,1,2,0,3,0,0,0,3,0,Umbria,ITI2
2021-01-04,PF/BT,10080101,Ospedale di Città di Castello,UMB,30-39,6,8,0,14,0,0,0,14,0,Umbria,ITI2
2021-01-04,PF/BT,10080101,Ospedale di Città di Castello,UMB,40-49,6,7,0,13,0,0,0,13,0,Umbria,ITI2
