TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_REGIONE,TML_NUTS
2020-12-27,PF/BT,20001,Ospedale Umberto Parini,VDA,20-29,0,1,0,1,0,0,0,1,0,Valle d'Aosta,ITC2
2020-12-27,PF/BT,20001,Ospedale Umberto Parini,VDA,30-39,1,0,0,1,0,0,0,1,0,Valle d'Aosta,ITC2
2020-12-27,PF/BT,20001,Ospedale Umberto Parini,VDA,40-49,1,3,0,4,0,0,0,4,0,Valle d'Aosta,ITC2
2020-12-27,PF/BT,20001,Ospedale Umberto Parini,VDA,50-59,4,5,0,9,0,0,0,9,0,Valle d'Aosta,ITC2
2020-12-27,PF/BT,20001,Ospedale Umberto Parini,VDA,60-69,3,2,0,5,0,0,0,5,0,Valle d'Aosta,ITC2
2020-12-31,PF/BT,20101,Presodio Ospedaliero Parini,VDA,20-29,0,1,0,1,0,0,0,1,0,Valle d'Aosta,ITC2
2020-12-31,PF/BT,20101,Presodio Ospedaliero Parini,VDA,30-39,0,2,0,2,0,0,0,2,0,Valle d'Aosta,ITC2
2020-12-31,PF/BT,20101,Presodio Ospedaliero Parini,VDA,40-49,1,2,0,3,0,0,0,3,0,Valle d'Aosta,ITC2
2020-12-31,PF/BT,20101,Presodio Ospedaliero Parini,VDA,50-59,3,8,0,11,0,0,0,11,0,Valle d'Aosta,ITC2
2020-12-31,PF/BT,20101,Presodio Ospedaliero Parini,VDA,60-69,0,1,0,1,0,0,0,1,0,Valle d'Aosta,ITC2
2021-01-02,PF/BT,20101,Azienda U.S.L. Valle d'Aosta,VDA,60-69,2,0,0,0,0,2,0,2,0,Valle d'Aosta,ITC2
2021-01-02,PF/BT,20101,Azienda U.S.L. Valle d'Aosta,VDA,80-89,3,1,0,0,0,4,0,4,0,Valle d'Aosta,ITC2
2021-01-04,PF/BT,20001,Azienda U.S.L. Valle d'Aosta,VDA,16-19,2,4,0,6,0,0,0,6,0,Valle d'Aosta,ITC2
2021-01-04,PF/BT,20001,Azienda U.S.L. Valle d'Aosta,VDA,20-29,12,13,0,25,0,0,0,25,0,Valle d'Aosta,ITC2
2021-01-04,PF/BT,20001,Azienda U.S.L. Valle d'Aosta,VDA,30-39,10,23,0,33,0,0,0,33,0,Valle d'Aosta,ITC2
2021-01-04,PF/BT,20001,Azienda U.S.L. Valle d'Aosta,VDA,40-49,9,32,0,41,0,0,0,41,0,Valle d'Aosta,ITC2
2021-01-04,PF/BT,20001,Azienda U.S.L. Valle d'Aosta,VDA,50-59,22,10,0,32,0,0,0,32,0,Valle d'Aosta,ITC2
2021-01-04,PF/BT,20001,Azienda U.S.L. Valle d'Aosta,VDA,60-69,2,1,0,3,0,0,0,3,0,Valle d'Aosta,ITC2
2021-01-04,PF/BT,20001,Azienda U.S.L. Valle d'Aosta,VDA,70-79,2,0,0,2,0,0,0,2,0,Valle d'Aosta,ITC2
2021-01-05,PF/BT,20001,Azienda U.S.L. Valle d'Aosta,VDA,20-29,6,5,0,11,0,0,0,11,0,Valle d'Aosta,ITC2
2021-01-05,PF/BT,20001,Azienda U.S.L. Valle d'Aosta,VDA,30-39,9,13,0,22,0,0,0,22,0,Valle d'Aosta,ITC2
2021-01-05,PF/BT,20001,Azienda U.S.L. Valle d'Aosta,VDA,40-49,8,23,0,31,0,0,0,31,0,Valle d'Aosta,ITC2
2021-01-05,PF/BT,20001,Azienda U.S.L. Valle d'Aosta,VDA,50-59,19,40,0,59,0,0,0,59,0,Valle d'Aosta,ITC2
2021-01-05,PF/BT,20001,Azienda U.S.L. Valle d'Aosta,VDA,60-69,6,10,0,16,0,0,0,16,0,Valle d'Aosta,ITC2
2021-01-05,PF/BT,900006,Refuge Pere Laurent,VDA,60-69,1,0,0,0,0,1,0,1,0,Valle d'Aosta,ITC2
2021-01-05,PF/BT,900006,Refuge Pere Laurent,VDA,70-79,1,3,0,0,0,4,0,4,0,Valle d'Aosta,ITC2
2021-01-05,PF/BT,900006,Refuge Pere Laurent,VDA,80-89,4,1,0,0,0,5,0,5,0,Valle d'Aosta,ITC2
2021-01-05,PF/BT,900006,Refuge Pere Laurent,VDA,90+,0,1,0,0,0,1,0,1,0,Valle d'Aosta,ITC2
2021-01-06,PF/BT,20001,Presidio Ospedaliero Parini,VDA,16-19,6,1,0,7,0,0,0,7,0,Valle d'Aosta,ITC2
2021-01-06,PF/BT,20001,Presidio Ospedaliero Parini,VDA,20-29,3,4,0,7,0,0,0,7,0,Valle d'Aosta,ITC2
2021-01-06,PF/BT,20001,Presidio Ospedaliero Parini,VDA,30-39,7,3,0,10,0,0,0,10,0,Valle d'Aosta,ITC2
2021-01-06,PF/BT,20001,Presidio Ospedaliero Parini,VDA,40-49,6,6,0,12,0,0,0,12,0,Valle d'Aosta,ITC2
2021-01-06,PF/BT,20001,Presidio Ospedaliero Parini,VDA,50-59,8,1,0,9,0,0,0,9,0,Valle d'Aosta,ITC2
2021-01-06,PF/BT,20001,Presidio Ospedaliero Parini,VDA,60-69,2,1,0,3,0,0,0,3,0,Valle d'Aosta,ITC2
2021-01-06,PF/BT,900006,Refuge Pere Laurent,VDA,60-69,0,1,0,0,0,1,0,1,0,Valle d'Aosta,ITC2
2021-01-06,PF/BT,900006,Refuge Pere Laurent,VDA,70-79,1,1,0,0,0,2,0,2,0,Valle d'Aosta,ITC2
2021-01-06,PF/BT,900006,Refuge Pere Laurent,VDA,80-89,0,7,0,0,0,7,0,7,0,Valle d'Aosta,ITC2
2021-01-06,PF/BT,900006,Refuge Pere Laurent,VDA,90+,1,7,0,0,0,8,0,8,0,Valle d'Aosta,ITC2
2021-01-07,PF/BT,20001,Presidio Ospedaliero Parini,VDA,20-29,12,14,0,26,0,0,0,26,0,Valle d'Aosta,ITC2
2021-01-07,PF/BT,20001,Presidio Ospedaliero Parini,VDA,30-39,20,30,0,50,0,0,0,50,0,Valle d'Aosta,ITC2
2021-01-07,PF/BT,20001,Presidio Ospedaliero Parini,VDA,40-49,25,50,0,75,0,0,0,75,0,Valle d'Aosta,ITC2
2021-01-07,PF/BT,20001,Presidio Ospedaliero Parini,VDA,50-59,23,56,0,79,0,0,0,79,0,Valle d'Aosta,ITC2
2021-01-07,PF/BT,20001,Presidio Ospedaliero Parini,VDA,60-69,26,13,0,39,0,0,0,39,0,Valle d'Aosta,ITC2
2021-01-07,PF/BT,20001,Presidio Ospedaliero Parini,VDA,70-79,4,0,0,4,0,0,0,4,0,Valle d'Aosta,ITC2
2021-01-07,PF/BT,900004,Microcomunità G.B. FESTAZ,VDA,50-59,1,0,0,0,0,1,0,1,0,Valle d'Aosta,ITC2
2021-01-07,PF/BT,900004,Microcomunità G.B. FESTAZ,VDA,60-69,1,0,0,0,0,1,0,1,0,Valle d'Aosta,ITC2
2021-01-07,PF/BT,900004,Microcomunità G.B. FESTAZ,VDA,70-79,0,2,0,0,0,2,0,2,0,Valle d'Aosta,ITC2
2021-01-07,PF/BT,900004,Microcomunità G.B. FESTAZ,VDA,80-89,1,1,0,0,0,2,0,2,0,Valle d'Aosta,ITC2
2021-01-08,PF/BT,20001,Presidio Ospedaliero Parini,VDA,16-19,2,2,0,4,0,0,0,4,0,Valle d'Aosta,ITC2
2021-01-08,PF/BT,20001,Presidio Ospedaliero Parini,VDA,20-29,11,21,0,32,0,0,0,32,0,Valle d'Aosta,ITC2
2021-01-08,PF/BT,20001,Presidio Ospedaliero Parini,VDA,30-39,21,29,0,50,0,0,0,50,0,Valle d'Aosta,ITC2
2021-01-08,PF/BT,20001,Presidio Ospedaliero Parini,VDA,40-49,21,35,0,56,0,0,0,56,0,Valle d'Aosta,ITC2
2021-01-08,PF/BT,20001,Presidio Ospedaliero Parini,VDA,50-59,24,51,0,75,0,0,0,75,0,Valle d'Aosta,ITC2
2021-01-08,PF/BT,20001,Presidio Ospedaliero Parini,VDA,60-69,22,14,0,36,0,0,0,36,0,Valle d'Aosta,ITC2
2021-01-08,PF/BT,20001,Presidio Ospedaliero Parini,VDA,70-79,19,2,0,21,0,0,0,21,0,Valle d'Aosta,ITC2
2021-01-08,PF/BT,20001,Presidio Ospedaliero Parini,VDA,80-89,1,0,0,1,0,0,0,1,0,Valle d'Aosta,ITC2
2021-01-08,PF/BT,6301,MORGEX Centro Vaccinale,VDA,30-39,0,2,0,0,0,2,0,2,0,Valle d'Aosta,ITC2
2021-01-08,PF/BT,6301,MORGEX Centro Vaccinale,VDA,40-49,0,1,0,0,0,1,0,1,0,Valle d'Aosta,ITC2
2021-01-08,PF/BT,6301,MORGEX Centro Vaccinale,VDA,50-59,1,4,0,0,0,5,0,5,0,Valle d'Aosta,ITC2
2021-01-08,PF/BT,6301,MORGEX Centro Vaccinale,VDA,70-79,2,1,0,0,0,3,0,3,0,Valle d'Aosta,ITC2
2021-01-08,PF/BT,6301,MORGEX Centro Vaccinale,VDA,80-89,4,4,0,0,0,8,0,8,0,Valle d'Aosta,ITC2
2021-01-08,PF/BT,6301,MORGEX Centro Vaccinale,VDA,90+,2,3,0,0,0,5,0,5,0,Valle d'Aosta,ITC2
2021-01-09,PF/BT,20001,Presidio Ospedaliero Parini,VDA,16-19,4,0,0,4,0,0,0,4,0,Valle d'Aosta,ITC2
2021-01-09,PF/BT,20001,Presidio Ospedaliero Parini,VDA,20-29,17,25,0,42,0,0,0,42,0,Valle d'Aosta,ITC2
2021-01-09,PF/BT,20001,Presidio Ospedaliero Parini,VDA,30-39,19,34,0,53,0,0,0,53,0,Valle d'Aosta,ITC2
2021-01-09,PF/BT,20001,Presidio Ospedaliero Parini,VDA,40-49,39,57,0,96,0,0,0,96,0,Valle d'Aosta,ITC2
2021-01-09,PF/BT,20001,Presidio Ospedaliero Parini,VDA,50-59,58,80,0,138,0,0,0,138,0,Valle d'Aosta,ITC2
2021-01-09,PF/BT,20001,Presidio Ospedaliero Parini,VDA,60-69,37,20,0,57,0,0,0,57,0,Valle d'Aosta,ITC2
2021-01-09,PF/BT,20001,Presidio Ospedaliero Parini,VDA,70-79,19,5,0,24,0,0,0,24,0,Valle d'Aosta,ITC2
2021-01-09,PF/BT,6301,DOMUS PACIS,VDA,40-49,0,5,0,0,0,5,0,5,0,Valle d'Aosta,ITC2
2021-01-09,PF/BT,6301,DOMUS PACIS,VDA,50-59,0,2,0,0,0,2,0,2,0,Valle d'Aosta,ITC2
2021-01-09,PF/BT,6301,DOMUS PACIS,VDA,60-69,0,2,0,0,0,2,0,2,0,Valle d'Aosta,ITC2
2021-01-09,PF/BT,6301,DOMUS PACIS,VDA,70-79,4,2,0,0,0,6,0,6,0,Valle d'Aosta,ITC2
2021-01-09,PF/BT,6301,DOMUS PACIS,VDA,80-89,1,6,0,0,0,7,0,7,0,Valle d'Aosta,ITC2
2021-01-09,PF/BT,6301,DOMUS PACIS,VDA,90+,1,6,0,0,0,7,0,7,0,Valle d'Aosta,ITC2
2021-01-10,PF/BT,20001,Presidio Ospedaliero Parini,VDA,20-29,3,14,0,17,0,0,0,17,0,Valle d'Aosta,ITC2
2021-01-10,PF/BT,20001,Presidio Ospedaliero Parini,VDA,30-39,11,30,0,41,0,0,0,41,0,Valle d'Aosta,ITC2
2021-01-10,PF/BT,20001,Presidio Ospedaliero Parini,VDA,40-49,13,31,0,44,0,0,0,44,0,Valle d'Aosta,ITC2
2021-01-10,PF/BT,20001,Presidio Ospedaliero Parini,VDA,50-59,18,40,0,58,0,0,0,58,0,Valle d'Aosta,ITC2
2021-01-10,PF/BT,20001,Presidio Ospedaliero Parini,VDA,60-69,12,11,0,23,0,0,0,23,0,Valle d'Aosta,ITC2
2021-01-10,PF/BT,20001,Presidio Ospedaliero Parini,VDA,70-79,2,0,0,2,0,0,0,2,0,Valle d'Aosta,ITC2
2021-01-10,PF/BT,7601,MICROCOMUNITA' PERLOZ,VDA,20-29,1,1,0,2,0,0,0,2,0,Valle d'Aosta,ITC2
2021-01-10,PF/BT,7601,MICROCOMUNITA' PERLOZ,VDA,30-39,0,2,0,2,0,0,0,2,0,Valle d'Aosta,ITC2
2021-01-10,PF/BT,7601,MICROCOMUNITA' PERLOZ,VDA,40-49,2,5,0,7,0,0,0,7,0,Valle d'Aosta,ITC2
2021-01-10,PF/BT,7601,MICROCOMUNITA' PERLOZ,VDA,50-59,0,4,0,4,0,0,0,4,0,Valle d'Aosta,ITC2
2021-01-10,PF/BT,7601,MICROCOMUNITA' PERLOZ,VDA,60-69,3,3,0,0,0,6,0,6,0,Valle d'Aosta,ITC2
2021-01-10,PF/BT,7601,MICROCOMUNITA' PERLOZ,VDA,70-79,3,5,0,0,0,8,0,8,0,Valle d'Aosta,ITC2
2021-01-10,PF/BT,7601,MICROCOMUNITA' PERLOZ,VDA,80-89,2,2,0,0,0,4,0,4,0,Valle d'Aosta,ITC2
2021-01-10,PF/BT,7601,MICROCOMUNITA' PERLOZ,VDA,90+,1,1,0,0,0,2,0,2,0,Valle d'Aosta,ITC2
2021-01-11,PF/BT,20001,Presidio Ospedaliero Parini,VDA,16-19,1,0,0,1,0,0,0,1,0,Valle d'Aosta,ITC2
2021-01-11,PF/BT,20001,Presidio Ospedaliero Parini,VDA,20-29,14,16,0,30,0,0,0,30,0,Valle d'Aosta,ITC2
2021-01-11,PF/BT,20001,Presidio Ospedaliero Parini,VDA,30-39,12,42,0,54,0,0,0,54,0,Valle d'Aosta,ITC2
2021-01-11,PF/BT,20001,Presidio Ospedaliero Parini,VDA,40-49,20,48,0,68,0,0,0,68,0,Valle d'Aosta,ITC2
2021-01-11,PF/BT,20001,Presidio Ospedaliero Parini,VDA,50-59,24,60,0,84,0,0,0,84,0,Valle d'Aosta,ITC2
2021-01-11,PF/BT,20001,Presidio Ospedaliero Parini,VDA,60-69,23,19,0,42,0,0,0,42,0,Valle d'Aosta,ITC2
2021-01-11,PF/BT,20001,Presidio Ospedaliero Parini,VDA,70-79,5,2,0,7,0,0,0,7,0,Valle d'Aosta,ITC2
2021-01-11,PF/BT,20101,MICROCOMUNITA' FENIS - VERRES,VDA,40-49,0,2,0,2,0,0,0,2,0,Valle d'Aosta,ITC2
2021-01-11,PF/BT,20101,MICROCOMUNITA' FENIS - VERRES,VDA,50-59,0,7,0,7,0,0,0,7,0,Valle d'Aosta,ITC2
2021-01-11,PF/BT,20101,MICROCOMUNITA' FENIS - VERRES,VDA,60-69,1,2,0,0,0,3,0,3,0,Valle d'Aosta,ITC2
2021-01-11,PF/BT,20101,MICROCOMUNITA' FENIS - VERRES,VDA,70-79,6,5,0,0,0,11,0,11,0,Valle d'Aosta,ITC2
2021-01-11,PF/BT,20101,MICROCOMUNITA' FENIS - VERRES,VDA,80-89,4,7,0,0,0,11,0,11,0,Valle d'Aosta,ITC2
2021-01-11,PF/BT,20101,MICROCOMUNITA' FENIS - VERRES,VDA,90+,2,4,0,0,0,6,0,6,0,Valle d'Aosta,ITC2
2021-01-12,PF/BT,20001,Presidio Ospedaliero Parini,VDA,20-29,9,17,0,26,0,0,0,26,0,Valle d'Aosta,ITC2
2021-01-12,PF/BT,20001,Presidio Ospedaliero Parini,VDA,30-39,10,26,0,36,0,0,0,36,0,Valle d'Aosta,ITC2
2021-01-12,PF/BT,20001,Presidio Ospedaliero Parini,VDA,40-49,14,59,0,73,0,0,0,73,0,Valle d'Aosta,ITC2
