TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_TOT_SOMM,TML_REGIONE,TML_NUTS
2020-12-27,PF/BT,50501,"BELLUNO ""DRIVE-IN""",VEN,20-29,1,4,0,5,0,0,0,5,0,5,Veneto,ITH3
2020-12-27,PF/BT,50501,"BELLUNO ""DRIVE-IN""",VEN,30-39,1,0,0,1,0,0,0,1,0,1,Veneto,ITH3
2020-12-27,PF/BT,50501,"BELLUNO ""DRIVE-IN""",VEN,40-49,0,6,0,6,0,0,0,6,0,6,Veneto,ITH3
2020-12-27,PF/BT,50501,"BELLUNO ""DRIVE-IN""",VEN,50-59,4,4,0,8,0,0,0,8,0,8,Veneto,ITH3
2020-12-27,PF/BT,50501,"BELLUNO ""DRIVE-IN""",VEN,60-69,2,2,0,4,0,0,0,4,0,4,Veneto,ITH3
2020-12-27,PF/BT,50501,FELTRE ADULTI,VEN,20-29,0,1,0,1,0,0,0,1,0,1,Veneto,ITH3
2020-12-27,PF/BT,50501,FELTRE ADULTI,VEN,30-39,2,2,0,4,0,0,0,4,0,4,Veneto,ITH3
2020-12-27,PF/BT,50501,FELTRE ADULTI,VEN,40-49,1,2,0,3,0,0,0,3,0,3,Veneto,ITH3
2020-12-27,PF/BT,50501,FELTRE ADULTI,VEN,50-59,2,5,0,7,0,0,0,7,0,7,Veneto,ITH3
2020-12-27,PF/BT,50501,FELTRE ADULTI,VEN,60-69,3,2,0,5,0,0,0,5,0,5,Veneto,ITH3
2020-12-27,PF/BT,5050201,OSPEDALE CA' FONCELLO,VEN,20-29,2,4,0,6,0,0,0,6,0,6,Veneto,ITH3
2020-12-27,PF/BT,5050201,OSPEDALE CA' FONCELLO,VEN,30-39,12,10,0,22,0,0,0,22,0,22,Veneto,ITH3
2020-12-27,PF/BT,5050201,OSPEDALE CA' FONCELLO,VEN,40-49,6,16,0,22,0,0,0,22,0,22,Veneto,ITH3
2020-12-27,PF/BT,5050201,OSPEDALE CA' FONCELLO,VEN,50-59,14,28,0,42,0,0,0,42,0,42,Veneto,ITH3
2020-12-27,PF/BT,5050201,OSPEDALE CA' FONCELLO,VEN,60-69,8,5,0,13,0,0,0,13,0,13,Veneto,ITH3
2020-12-27,PF/BT,50503,CHIOGGIA,VEN,40-49,1,3,0,4,0,0,0,4,0,4,Veneto,ITH3
2020-12-27,PF/BT,50503,CHIOGGIA,VEN,50-59,1,5,0,6,0,0,0,6,0,6,Veneto,ITH3
2020-12-27,PF/BT,50503,CHIOGGIA,VEN,60-69,4,1,0,5,0,0,0,5,0,5,Veneto,ITH3
2020-12-27,PF/BT,50503,S.I.S.P. MESTRE,VEN,20-29,0,3,0,3,0,0,0,3,0,3,Veneto,ITH3
2020-12-27,PF/BT,50503,S.I.S.P. MESTRE,VEN,30-39,5,1,0,6,0,0,0,6,0,6,Veneto,ITH3
2020-12-27,PF/BT,50503,S.I.S.P. MESTRE,VEN,40-49,1,6,0,7,0,0,0,7,0,7,Veneto,ITH3
2020-12-27,PF/BT,50503,S.I.S.P. MESTRE,VEN,50-59,3,5,0,8,0,0,0,8,0,8,Veneto,ITH3
2020-12-27,PF/BT,50503,S.I.S.P. MESTRE,VEN,60-69,7,4,0,11,0,0,0,11,0,11,Veneto,ITH3
2020-12-27,PF/BT,50503,S.I.S.P. VENEZIA,VEN,20-29,1,1,0,2,0,0,0,2,0,2,Veneto,ITH3
2020-12-27,PF/BT,50503,S.I.S.P. VENEZIA,VEN,30-39,4,0,0,4,0,0,0,4,0,4,Veneto,ITH3
2020-12-27,PF/BT,50503,S.I.S.P. VENEZIA,VEN,40-49,2,0,0,2,0,0,0,2,0,2,Veneto,ITH3
2020-12-27,PF/BT,50503,S.I.S.P. VENEZIA,VEN,50-59,5,1,0,6,0,0,0,6,0,6,Veneto,ITH3
2020-12-27,PF/BT,50503,S.I.S.P. VENEZIA,VEN,60-69,1,0,0,1,0,0,0,1,0,1,Veneto,ITH3
2020-12-27,PF/BT,50503,SISP DOLO ADULTI,VEN,20-29,2,2,0,4,0,0,0,4,0,4,Veneto,ITH3
2020-12-27,PF/BT,50503,SISP DOLO ADULTI,VEN,30-39,3,1,0,4,0,0,0,4,0,4,Veneto,ITH3
2020-12-27,PF/BT,50503,SISP DOLO ADULTI,VEN,40-49,4,4,0,8,0,0,0,8,0,8,Veneto,ITH3
2020-12-27,PF/BT,50503,SISP DOLO ADULTI,VEN,50-59,8,8,0,16,0,0,0,16,0,16,Veneto,ITH3
2020-12-27,PF/BT,50503,SISP DOLO ADULTI,VEN,60-69,9,3,0,12,0,0,0,12,0,12,Veneto,ITH3
2020-12-27,PF/BT,50503,SISP DOLO ADULTI,VEN,70-79,1,0,0,1,0,0,0,1,0,1,Veneto,ITH3
2020-12-27,PF/BT,50504,CA' SAVIO,VEN,20-29,0,4,0,4,0,0,0,4,0,4,Veneto,ITH3
2020-12-27,PF/BT,50504,CA' SAVIO,VEN,30-39,3,2,0,5,0,0,0,5,0,5,Veneto,ITH3
2020-12-27,PF/BT,50504,CA' SAVIO,VEN,40-49,5,7,0,12,0,0,0,12,0,12,Veneto,ITH3
2020-12-27,PF/BT,50504,CA' SAVIO,VEN,50-59,6,12,0,18,0,0,0,18,0,18,Veneto,ITH3
2020-12-27,PF/BT,50504,CA' SAVIO,VEN,60-69,6,0,0,6,0,0,0,6,0,6,Veneto,ITH3
2020-12-27,PF/BT,50505,TRECENTA,VEN,30-39,2,7,0,9,0,0,0,9,0,9,Veneto,ITH3
2020-12-27,PF/BT,50505,TRECENTA,VEN,40-49,2,9,0,11,0,0,0,11,0,11,Veneto,ITH3
2020-12-27,PF/BT,50505,TRECENTA,VEN,50-59,7,10,0,17,0,0,0,17,0,17,Veneto,ITH3
2020-12-27,PF/BT,50505,TRECENTA,VEN,60-69,2,1,0,3,0,0,0,3,0,3,Veneto,ITH3
2020-12-27,PF/BT,50506,AZ OSPEDALIERA DI PADOVA MAL. INFET.E TR,VEN,40-49,2,7,0,9,0,0,0,9,0,9,Veneto,ITH3
2020-12-27,PF/BT,50506,AZ OSPEDALIERA DI PADOVA MAL. INFET.E TR,VEN,50-59,15,38,0,52,0,0,1,53,0,53,Veneto,ITH3
2020-12-27,PF/BT,50506,AZ OSPEDALIERA DI PADOVA MAL. INFET.E TR,VEN,60-69,17,12,0,29,0,0,0,29,0,29,Veneto,ITH3
2020-12-27,PF/BT,50506,CITTADELLA (S.I.S.P.),VEN,20-29,1,0,0,1,0,0,0,1,0,1,Veneto,ITH3
2020-12-27,PF/BT,50506,CITTADELLA (S.I.S.P.),VEN,30-39,1,2,0,3,0,0,0,3,0,3,Veneto,ITH3
2020-12-27,PF/BT,50506,CITTADELLA (S.I.S.P.),VEN,40-49,4,3,0,7,0,0,0,7,0,7,Veneto,ITH3
2020-12-27,PF/BT,50506,CITTADELLA (S.I.S.P.),VEN,50-59,7,23,0,30,0,0,0,30,0,30,Veneto,ITH3
2020-12-27,PF/BT,50506,CITTADELLA (S.I.S.P.),VEN,60-69,9,5,0,14,0,0,0,14,0,14,Veneto,ITH3
2020-12-27,PF/BT,50506,SCHIAVONIA AMBULATORIO,VEN,20-29,1,5,0,6,0,0,0,6,0,6,Veneto,ITH3
2020-12-27,PF/BT,50506,SCHIAVONIA AMBULATORIO,VEN,30-39,2,0,0,2,0,0,0,2,0,2,Veneto,ITH3
2020-12-27,PF/BT,50506,SCHIAVONIA AMBULATORIO,VEN,40-49,1,0,0,1,0,0,0,1,0,1,Veneto,ITH3
2020-12-27,PF/BT,50506,SCHIAVONIA AMBULATORIO,VEN,50-59,12,21,0,33,0,0,0,33,0,33,Veneto,ITH3
2020-12-27,PF/BT,50506,SCHIAVONIA AMBULATORIO,VEN,60-69,9,4,0,13,0,0,0,13,0,13,Veneto,ITH3
2020-12-27,PF/BT,50507,DIPARTIMENTO DI PREVENZIONE,VEN,20-29,1,3,0,4,0,0,0,4,0,4,Veneto,ITH3
2020-12-27,PF/BT,50507,DIPARTIMENTO DI PREVENZIONE,VEN,30-39,2,6,0,8,0,0,0,8,0,8,Veneto,ITH3
2020-12-27,PF/BT,50507,DIPARTIMENTO DI PREVENZIONE,VEN,40-49,0,4,0,4,0,0,0,4,0,4,Veneto,ITH3
2020-12-27,PF/BT,50507,DIPARTIMENTO DI PREVENZIONE,VEN,50-59,2,5,0,7,0,0,0,7,0,7,Veneto,ITH3
2020-12-27,PF/BT,50507,DIPARTIMENTO DI PREVENZIONE,VEN,60-69,1,1,0,2,0,0,0,2,0,2,Veneto,ITH3
2020-12-27,PF/BT,50507,THIENE,VEN,20-29,0,1,0,1,0,0,0,1,0,1,Veneto,ITH3
2020-12-27,PF/BT,50507,THIENE,VEN,30-39,2,4,0,6,0,0,0,6,0,6,Veneto,ITH3
2020-12-27,PF/BT,50507,THIENE,VEN,40-49,4,3,0,7,0,0,0,7,0,7,Veneto,ITH3
2020-12-27,PF/BT,50507,THIENE,VEN,50-59,0,2,0,2,0,0,0,2,0,2,Veneto,ITH3
2020-12-27,PF/BT,50507,THIENE,VEN,60-69,4,0,0,4,0,0,0,4,0,4,Veneto,ITH3
2020-12-27,PF/BT,50508,SISP IV NOVEMBRE,VEN,20-29,3,4,0,7,0,0,0,7,0,7,Veneto,ITH3
2020-12-27,PF/BT,50508,SISP IV NOVEMBRE,VEN,30-39,7,4,0,11,0,0,0,11,0,11,Veneto,ITH3
2020-12-27,PF/BT,50508,SISP IV NOVEMBRE,VEN,40-49,7,12,0,19,0,0,0,19,0,19,Veneto,ITH3
2020-12-27,PF/BT,50508,SISP IV NOVEMBRE,VEN,50-59,12,16,0,27,0,0,1,28,0,28,Veneto,ITH3
2020-12-27,PF/BT,50508,SISP IV NOVEMBRE,VEN,60-69,19,6,0,25,0,0,0,25,0,25,Veneto,ITH3
2020-12-27,PF/BT,50509,VILLAFRANCA,VEN,20-29,5,14,0,19,0,0,0,19,0,19,Veneto,ITH3
2020-12-27,PF/BT,50509,VILLAFRANCA,VEN,30-39,7,8,0,15,0,0,0,15,0,15,Veneto,ITH3
2020-12-27,PF/BT,50509,VILLAFRANCA,VEN,40-49,5,8,0,13,0,0,0,13,0,13,Veneto,ITH3
2020-12-27,PF/BT,50509,VILLAFRANCA,VEN,50-59,9,19,0,28,0,0,0,28,0,28,Veneto,ITH3
2020-12-27,PF/BT,50509,VILLAFRANCA,VEN,60-69,11,3,0,14,0,0,0,14,0,14,Veneto,ITH3
2020-12-27,PF/BT,50509,VILLAFRANCA,VEN,70-79,1,0,0,1,0,0,0,1,0,1,Veneto,ITH3
