TML_DTA_SOMM,TML_REGIONE,TML_NUTS,TML_SESSO_M,TML_SESSO_F,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2
2021-01-17,Abruzzo,ITF1,88,117,188,2,0,15,205,0
2021-01-17,Campania,ITF3,374,478,442,22,159,229,701,151
2021-01-17,Emilia-Romagna,ITH5,416,671,656,22,27,382,1087,0
2021-01-17,Lazio,ITI4,780,1218,1133,71,60,734,1998,0
2021-01-17,Liguria,ITC3,143,412,211,22,238,84,555,0
2021-01-17,Lombardia,ITC4,2771,4202,4562,1639,381,391,6796,177
2021-01-17,Marche,ITI3,525,847,954,365,45,8,1372,0
2021-01-17,P.A. Bolzano,ITH1,418,559,24,26,0,927,974,3
2021-01-17,Piemonte,ITC1,924,1702,1667,580,379,0,2084,542
2021-01-17,Puglia,ITF4,133,72,85,102,18,0,189,16
2021-01-17,Sardegna,ITG2,37,59,58,38,0,0,96,0
2021-01-17,Sicilia,ITG1,452,479,515,188,12,216,897,34
2021-01-17,Toscana,ITI1,709,1476,1747,274,164,0,1836,349
2021-01-17,Umbria,ITI2,17,37,28,26,0,0,54,0
2021-01-17,Valle d'Aosta,ITC2,56,75,52,0,20,59,131,0
2021-01-17,Veneto,ITH3,517,812,797,288,120,124,1329,0
